"global_step","1772388591-grad-compression=accumulate-grads - charts/episodic_return","1772388591-grad-compression=accumulate-grads - charts/episodic_return__MIN","1772388591-grad-compression=accumulate-grads - charts/episodic_return__MAX","1772388591-grad-compression=accumulate-grads - _step","1772388591-grad-compression=accumulate-grads - _step__MIN","1772388591-grad-compression=accumulate-grads - _step__MAX","accumulate-grads_30kwarmup - charts/episodic_return","accumulate-grads_30kwarmup - charts/episodic_return__MIN","accumulate-grads_30kwarmup - charts/episodic_return__MAX","accumulate-grads_30kwarmup - _step","accumulate-grads_30kwarmup - _step__MIN","accumulate-grads_30kwarmup - _step__MAX","baseline - charts/episodic_return","baseline - charts/episodic_return__MIN","baseline - charts/episodic_return__MAX","baseline - _step","baseline - _step__MIN","baseline - _step__MAX"
"18926","-62.5","-62.5","-62.5","57","57","57","-62.5","-62.5","-62.5","57","57","57","-62.5","-62.5","-62.5","57","57","57"
"19927","-41.55844","-41.55844","-41.55844","58","58","58","-41.55844","-41.55844","-41.55844","58","58","58","-41.55844","-41.55844","-41.55844","58","58","58"
"20928","-54.372623","-54.372623","-54.372623","66","66","66","-54.372623","-54.372623","-54.372623","66","66","66","-54.372623","-54.372623","-54.372623","66","66","66"
"21929","-43.143814","-43.143814","-43.143814","67","67","67","-43.143814","-43.143814","-43.143814","67","67","67","-43.143814","-43.143814","-43.143814","67","67","67"
"22930","-75.30864","-75.30864","-75.30864","68","68","68","-75.30864","-75.30864","-75.30864","68","68","68","-75.30864","-75.30864","-75.30864","68","68","68"
"23931","-60.912052","-60.912052","-60.912052","69","69","69","-60.912052","-60.912052","-60.912052","69","69","69","-60.912052","-60.912052","-60.912052","69","69","69"
"24932","-22.077923","-22.077923","-22.077923","77","77","77","-22.077923","-22.077923","-22.077923","77","77","77","-22.077923","-22.077923","-22.077923","77","77","77"
"25933","-61.805557","-61.805557","-61.805557","78","78","78","-61.805557","-61.805557","-61.805557","78","78","78","-61.805557","-61.805557","-61.805557","78","78","78"
"26934","-39.501778","-39.501778","-39.501778","79","79","79","-39.501778","-39.501778","-39.501778","79","79","79","-39.501778","-39.501778","-39.501778","79","79","79"
"27935","-34.7181","-34.7181","-34.7181","80","80","80","-34.7181","-34.7181","-34.7181","80","80","80","-34.7181","-34.7181","-34.7181","80","80","80"
"28936","-52.522255","-52.522255","-52.522255","88","88","88","-52.522255","-52.522255","-52.522255","88","88","88","-52.522255","-52.522255","-52.522255","88","88","88"
"29937","19.631903","19.631903","19.631903","89","89","89","19.631903","19.631903","19.631903","89","89","89","19.631903","19.631903","19.631903","89","89","89"
"30938","-45.454544","-45.454544","-45.454544","90","90","90","-45.454544","-45.454544","-45.454544","90","90","90","-45.454544","-45.454544","-45.454544","90","90","90"
"31939","-71.0611","-71.0611","-71.0611","91","91","91","-71.0611","-71.0611","-71.0611","91","91","91","-71.0611","-71.0611","-71.0611","91","91","91"
"32940","-33.554817","-33.554817","-33.554817","99","99","99","-33.554817","-33.554817","-33.554817","99","99","99","-33.554817","-33.554817","-33.554817","99","99","99"
"33941","-66.19718","-66.19718","-66.19718","100","100","100","-54.929577","-54.929577","-54.929577","100","100","100","-63.380283","-63.380283","-63.380283","100","100","100"
"34942","-25.423729","-25.423729","-25.423729","101","101","101","-25.423729","-25.423729","-25.423729","101","101","101","-28.813559","-28.813559","-28.813559","101","101","101"
"35943","-23.312883","-23.312883","-23.312883","102","102","102","-26.380367","-26.380367","-26.380367","102","102","102","-29.447853","-29.447853","-29.447853","102","102","102"
"36944","-9.090909","-9.090909","-9.090909","110","110","110","-12.587413","-12.587413","-12.587413","110","110","110","-5.5944057","-5.5944057","-5.5944057","110","110","110"
"37945","-70.26022","-70.26022","-70.26022","111","111","111","-70.26022","-70.26022","-70.26022","111","111","111","-70.26022","-70.26022","-70.26022","111","111","111"
"38946","-79.38145","-79.38145","-79.38145","112","112","112","-75.945015","-75.945015","-75.945015","112","112","112","-79.38145","-79.38145","-79.38145","112","112","112"
"39947","-41.55844","-41.55844","-41.55844","113","113","113","-41.55844","-41.55844","-41.55844","113","113","113","-44.805195","-44.805195","-44.805195","113","113","113"
"40948","-66.442955","-66.442955","-66.442955","114","114","114","-66.442955","-66.442955","-66.442955","114","114","114","-69.79866","-69.79866","-69.79866","114","114","114"
"41949","-66.86747","-66.86747","-66.86747","122","122","122","-69.87952","-69.87952","-69.87952","122","122","122","-69.87952","-69.87952","-69.87952","122","122","122"
"42950","-73.21429","-73.21429","-73.21429","123","123","123","-70.2381","-70.2381","-70.2381","123","123","123","-76.190475","-76.190475","-76.190475","123","123","123"
"43951","-66.10169","-66.10169","-66.10169","124","124","124","-59.322033","-59.322033","-59.322033","124","124","124","-66.10169","-66.10169","-66.10169","124","124","124"
"44952","-58.62069","-58.62069","-58.62069","125","125","125","-48.275864","-48.275864","-48.275864","125","125","125","-58.62069","-58.62069","-58.62069","125","125","125"
"45953","-46.42857","-46.42857","-46.42857","133","133","133","-64.28571","-64.28571","-64.28571","133","133","133","-60.714287","-60.714287","-60.714287","133","133","133"
"46954","-14.179105","-14.179105","-14.179105","134","134","134","-51.49254","-51.49254","-51.49254","134","134","134","-32.83582","-32.83582","-32.83582","134","134","134"
"47955","-72.13622","-72.13622","-72.13622","135","135","135","-65.944275","-65.944275","-65.944275","135","135","135","-75.2322","-75.2322","-75.2322","135","135","135"
"48956","-58.990536","-58.990536","-58.990536","136","136","136","-46.37224","-46.37224","-46.37224","136","136","136","-58.990536","-58.990536","-58.990536","136","136","136"
"49957","-74.02597","-74.02597","-74.02597","144","144","144","-38.311687","-38.311687","-38.311687","144","144","144","-70.77922","-70.77922","-70.77922","144","144","144"
"50958","-42.62295","-42.62295","-42.62295","145","145","145","-34.42623","-34.42623","-34.42623","145","145","145","-34.42623","-34.42623","-34.42623","145","145","145"
"51959","-62.328766","-62.328766","-62.328766","146","146","146","-52.054794","-52.054794","-52.054794","146","146","146","-28.082191","-28.082191","-28.082191","146","146","146"
"52960","-20.886076","-20.886076","-20.886076","147","147","147","-36.708862","-36.708862","-36.708862","147","147","147","-46.20253","-46.20253","-46.20253","147","147","147"
"53961","-58.47751","-58.47751","-58.47751","155","155","155","-55.0173","-55.0173","-55.0173","155","155","155","-48.096886","-48.096886","-48.096886","155","155","155"
"54916","-132.8","-132.8","-132.8","156","156","156","","","","","","","","","","","",""
"54962","","","","","","","-34.02778","-34.02778","-34.02778","156","156","156","-30.555555","-30.555555","-30.555555","156","156","156"
"55917","-32.83582","-32.83582","-32.83582","157","157","157","","","","","","","","","","","",""
"55963","","","","","","","-47.761192","-47.761192","-47.761192","157","157","157","-47.761192","-47.761192","-47.761192","157","157","157"
"56918","-14.19142","-14.19142","-14.19142","158","158","158","","","","","","","","","","","",""
"56964","","","","","","","-27.392738","-27.392738","-27.392738","158","158","158","-10.891089","-10.891089","-10.891089","158","158","158"
"57919","-46.23656","-46.23656","-46.23656","166","166","166","","","","","","","","","","","",""
"57965","","","","","","","-49.82079","-49.82079","-49.82079","166","166","166","-64.15771","-64.15771","-64.15771","166","166","166"
"58920","-71.53025","-71.53025","-71.53025","167","167","167","","","","","","","","","","","",""
"58966","","","","","","","-39.501778","-39.501778","-39.501778","167","167","167","-32.384342","-32.384342","-32.384342","167","167","167"
"59921","-68.085106","-68.085106","-68.085106","168","168","168","","","","","","","","","","","",""
"59967","","","","","","","-57.446808","-57.446808","-57.446808","168","168","168","-60.99291","-60.99291","-60.99291","168","168","168"
"60922","-66.911766","-66.911766","-66.911766","169","169","169","","","","","","","","","","","",""
"60968","","","","","","","-44.85294","-44.85294","-44.85294","169","169","169","-70.588234","-70.588234","-70.588234","169","169","169"
"61923","-56.52174","-56.52174","-56.52174","177","177","177","","","","","","","","","","","",""
"61969","","","","","","","-64.42688","-64.42688","-64.42688","177","177","177","-76.284584","-76.284584","-76.284584","177","177","177"
"62924","-19.35484","-19.35484","-19.35484","178","178","178","","","","","","","","","","","",""
"62970","","","","","","","-25.806452","-25.806452","-25.806452","178","178","178","-16.129032","-16.129032","-16.129032","178","178","178"
"63925","-11.4754095","-11.4754095","-11.4754095","179","179","179","","","","","","","","","","","",""
"63971","","","","","","","-70.491806","-70.491806","-70.491806","179","179","179","-63.934425","-63.934425","-63.934425","179","179","179"
"64926","-68.85813","-68.85813","-68.85813","180","180","180","","","","","","","","","","","",""
"64972","","","","","","","-41.17647","-41.17647","-41.17647","180","180","180","-75.77855","-75.77855","-75.77855","180","180","180"
"65927","-56.989246","-56.989246","-56.989246","188","188","188","","","","","","","","","","","",""
"65973","","","","","","","-39.0681","-39.0681","-39.0681","188","188","188","-35.48387","-35.48387","-35.48387","188","188","188"
"66928","-63.50365","-63.50365","-63.50365","189","189","189","","","","","","","","","","","",""
"66974","","","","","","","-59.854015","-59.854015","-59.854015","189","189","189","-27.0073","-27.0073","-27.0073","189","189","189"
"67929","-44.07895","-44.07895","-44.07895","190","190","190","","","","","","","","","","","",""
"67975","","","","","","","-67.10526","-67.10526","-67.10526","190","190","190","-34.210526","-34.210526","-34.210526","190","190","190"
"68930","11.111111","11.111111","11.111111","191","191","191","","","","","","","","","","","",""
"68976","","","","","","","-53.405018","-53.405018","-53.405018","191","191","191","-46.23656","-46.23656","-46.23656","191","191","191"
"69931","-62.14511","-62.14511","-62.14511","199","199","199","","","","","","","","","","","",""
"69977","","","","","","","-81.072556","-81.072556","-81.072556","199","199","199","-77.917984","-77.917984","-77.917984","199","199","199"
"70480","","","","","","","-119.89866","-119.89866","-119.89866","200","200","200","","","","","",""
"70932","-39.597317","-39.597317","-39.597317","200","200","200","","","","","","","","","","","",""
"70978","","","","","","","","","","","","","-9.395973","-9.395973","-9.395973","200","200","200"
"71481","","","","","","","0.67114097","0.67114097","0.67114097","201","201","201","","","","","",""
"71933","-39.597317","-39.597317","-39.597317","201","201","201","","","","","","","","","","","",""
"71979","","","","","","","","","","","","","-66.442955","-66.442955","-66.442955","201","201","201"
"72482","","","","","","","-24.398626","-24.398626","-24.398626","202","202","202","","","","","",""
"72934","-20.9622","-20.9622","-20.9622","202","202","202","","","","","","","","","","","",""
"72980","","","","","","","","","","","","","-55.32646","-55.32646","-55.32646","202","202","202"
"73483","","","","","","","2.102102","2.102102","2.102102","203","203","203","","","","","",""
"73935","-45.945946","-45.945946","-45.945946","210","210","210","","","","","","","","","","","",""
"73981","","","","","","","","","","","","","-60.96096","-60.96096","-60.96096","210","210","210"
"74484","","","","","","","-74.60317","-74.60317","-74.60317","211","211","211","","","","","",""
"74936","-4.7619047","-4.7619047","-4.7619047","211","211","211","","","","","","","","","","","",""
"74982","","","","","","","","","","","","","-7.9365077","-7.9365077","-7.9365077","211","211","211"
"75485","","","","","","","-63.81579","-63.81579","-63.81579","212","212","212","","","","","",""
"75937","48.026318","48.026318","48.026318","212","212","212","","","","","","","","","","","",""
"75983","","","","","","","","","","","","","-60.526318","-60.526318","-60.526318","212","212","212"
"76486","","","","","","","-34.865902","-34.865902","-34.865902","213","213","213","","","","","",""
"76938","22.605364","22.605364","22.605364","213","213","213","","","","","","","","","","","",""
"76984","","","","","","","","","","","","","-15.708813","-15.708813","-15.708813","213","213","213"
"77474","","","","","","","-137.62439","-137.62439","-137.62439","214","214","214","","","","","",""
"77939","-55.284554","-55.284554","-55.284554","221","221","221","","","","","","","","","","","",""
"77985","","","","","","","","","","","","","1.6260163","1.6260163","1.6260163","221","221","221"
"78475","","","","","","","-60","-60","-60","222","222","222","","","","","",""
"78940","6.6666665","6.6666665","6.6666665","222","222","222","","","","","","","","","","","",""
"78986","","","","","","","","","","","","","-66.666664","-66.666664","-66.666664","222","222","222"
"79476","","","","","","","-44.64945","-44.64945","-44.64945","223","223","223","","","","","",""
"79941","-7.7490773","-7.7490773","-7.7490773","223","223","223","","","","","","","","","","","",""
"79987","","","","","","","","","","","","","-33.579334","-33.579334","-33.579334","223","223","223"
"80477","","","","","","","-13.907285","-13.907285","-13.907285","224","224","224","","","","","",""
"80942","-10.596026","-10.596026","-10.596026","224","224","224","","","","","","","","","","","",""
"80988","","","","","","","","","","","","","-0.66225165","-0.66225165","-0.66225165","224","224","224"
"81478","","","","","","","-9.090909","-9.090909","-9.090909","225","225","225","","","","","",""
"81853","","","","","","","","","","","","","-119.86643","-119.86643","-119.86643","225","225","225"
"81943","-40.55944","-40.55944","-40.55944","232","232","232","","","","","","","","","","","",""
"82061","","","","","","","-127.38328","-127.38328","-127.38328","233","233","233","","","","","",""
"82850","","","","","","","","","","","","","-172.19624","-172.19624","-172.19624","233","233","233"
"82899","-171.50922","-171.50922","-171.50922","233","233","233","","","","","","","","","","","",""
"83062","","","","","","","-74.07407","-74.07407","-74.07407","234","234","234","","","","","",""
"83851","","","","","","","","","","","","","11.111111","11.111111","11.111111","234","234","234"
"83900","-62.962963","-62.962963","-62.962963","234","234","234","","","","","","","","","","","",""
"84063","","","","","","","-55.6962","-55.6962","-55.6962","235","235","235","","","","","",""
"84792","","","","","","","","","","","","","-140.10254","-140.10254","-140.10254","235","235","235"
"84901","-20.886076","-20.886076","-20.886076","235","235","235","","","","","","","","","","","",""
"85064","","","","","","","-64.85623","-64.85623","-64.85623","236","236","236","","","","","",""
"85587","","","","","","","","","","","","","-153.74089","-153.74089","-153.74089","236","236","236"
"85902","120.44728","120.44728","120.44728","236","236","236","","","","","","","","","","","",""
"86065","","","","","","","-0.7633588","-0.7633588","-0.7633588","244","244","244","","","","","",""
"86588","","","","","","","","","","","","","-46.564884","-46.564884","-46.564884","244","244","244"
"86903","56.48855","56.48855","56.48855","244","244","244","","","","","","","","","","","",""
"87066","","","","","","","-37.5","-37.5","-37.5","245","245","245","","","","","",""
"87589","","","","","","","","","","","","","-44.85294","-44.85294","-44.85294","245","245","245"
"87904","-52.205883","-52.205883","-52.205883","245","245","245","","","","","","","","","","","",""
"88067","","","","","","","-68.55346","-68.55346","-68.55346","246","246","246","","","","","",""
"88590","","","","","","","","","","","","","-55.974842","-55.974842","-55.974842","246","246","246"
"88905","3.7735848","3.7735848","3.7735848","246","246","246","","","","","","","","","","","",""
"89068","","","","","","","-40.199337","-40.199337","-40.199337","247","247","247","","","","","",""
"89591","","","","","","","","","","","","","-16.943521","-16.943521","-16.943521","247","247","247"
"89906","-40.199337","-40.199337","-40.199337","247","247","247","","","","","","","","","","","",""
"90069","","","","","","","-75","-75","-75","248","248","248","","","","","",""
"90592","","","","","","","","","","","","","-75","-75","-75","255","255","255"
"90907","-50","-50","-50","255","255","255","","","","","","","","","","","",""
"91070","","","","","","","-19.753086","-19.753086","-19.753086","256","256","256","","","","","",""
"91593","","","","","","","","","","","","","-59.876545","-59.876545","-59.876545","256","256","256"
"91908","-38.271606","-38.271606","-38.271606","256","256","256","","","","","","","","","","","",""
"92071","","","","","","","-55.414013","-55.414013","-55.414013","257","257","257","","","","","",""
"92569","","","","","","","","","","","","","-155.99873","-155.99873","-155.99873","257","257","257"
"92909","-49.044586","-49.044586","-49.044586","257","257","257","","","","","","","","","","","",""
"93072","","","","","","","-36.842106","-36.842106","-36.842106","258","258","258","","","","","",""
"93570","","","","","","","","","","","","","-36.842106","-36.842106","-36.842106","258","258","258"
"93910","8.77193","8.77193","8.77193","258","258","258","","","","","","","","","","","",""
"94073","","","","","","","-81.01266","-81.01266","-81.01266","259","259","259","","","","","",""
"94571","","","","","","","","","","","","","-27.215189","-27.215189","-27.215189","266","266","266"
"94911","-62.02532","-62.02532","-62.02532","266","266","266","","","","","","","","","","","",""
"95074","","","","","","","-39.0681","-39.0681","-39.0681","267","267","267","","","","","",""
"95572","","","","","","","","","","","","","-56.989246","-56.989246","-56.989246","267","267","267"
"95912","-10.394265","-10.394265","-10.394265","267","267","267","","","","","","","","","","","",""
"96075","","","","","","","-30.76923","-30.76923","-30.76923","268","268","268","","","","","",""
"96573","","","","","","","","","","","","","-30.76923","-30.76923","-30.76923","268","268","268"
"96913","57.692307","57.692307","57.692307","268","268","268","","","","","","","","","","","",""
"97076","","","","","","","-62.328766","-62.328766","-62.328766","269","269","269","","","","","",""
"97574","","","","","","","","","","","","","-45.20548","-45.20548","-45.20548","269","269","269"
"97914","-45.20548","-45.20548","-45.20548","269","269","269","","","","","","","","","","","",""
"98077","","","","","","","-40.520447","-40.520447","-40.520447","270","270","270","","","","","",""
"98575","","","","","","","","","","","","","-51.672863","-51.672863","-51.672863","277","277","277"
"98915","-7.063197","-7.063197","-7.063197","277","277","277","","","","","","","","","","","",""
"99078","","","","","","","-77.41936","-77.41936","-77.41936","278","278","278","","","","","",""
"99576","","","","","","","","","","","","","-51.612904","-51.612904","-51.612904","278","278","278"
"99916","3.2258065","3.2258065","3.2258065","278","278","278","","","","","","","","","","","",""
"100079","","","","","","","15.254237","15.254237","15.254237","279","279","279","","","","","",""
"100577","","","","","","","","","","","","","62.711864","62.711864","62.711864","279","279","279"
"100917","22.033897","22.033897","22.033897","279","279","279","","","","","","","","","","","",""
"101080","","","","","","","-57.236843","-57.236843","-57.236843","280","280","280","","","","","",""
"101578","","","","","","","","","","","","","-60.526318","-60.526318","-60.526318","280","280","280"
"101800","-151.91579","-151.91579","-151.91579","280","280","280","","","","","","","","","","","",""
"102081","","","","","","","-60","-60","-60","281","281","281","","","","","",""
"102579","","","","","","","","","","","","","-2.5687785e-13","-2.5687785e-13","-2.5687785e-13","288","288","288"
"102801","3.3333333","3.3333333","3.3333333","288","288","288","","","","","","","","","","","",""
"103082","","","","","","","-39.501778","-39.501778","-39.501778","289","289","289","","","","","",""
"103580","","","","","","","","","","","","","117.08185","117.08185","117.08185","289","289","289"
"103802","-25.266905","-25.266905","-25.266905","289","289","289","","","","","","","","","","","",""
"104083","","","","","","","-61.403507","-61.403507","-61.403507","290","290","290","","","","","",""
"104581","","","","","","","","","","","","","1.754386","1.754386","1.754386","290","290","290"
"104803","-33.333332","-33.333332","-33.333332","290","290","290","","","","","","","","","","","",""
"105084","","","","","","","-44.62541","-44.62541","-44.62541","291","291","291","","","","","",""
"105582","","","","","","","","","","","","","0.9771987","0.9771987","0.9771987","291","291","291"
"105804","23.778502","23.778502","23.778502","291","291","291","","","","","","","","","","","",""
"106085","","","","","","","-44.827587","-44.827587","-44.827587","292","292","292","","","","","",""
"106583","","","","","","","","","","","","","-2.8529956e-13","-2.8529956e-13","-2.8529956e-13","299","299","299"
"106805","-41.37931","-41.37931","-41.37931","299","299","299","","","","","","","","","","","",""
"107086","","","","","","","-57.74648","-57.74648","-57.74648","300","300","300","","","","","",""
"107395","","","","","","","","","","","","","-114.098595","-114.098595","-114.098595","300","300","300"
"107806","-29.577465","-29.577465","-29.577465","300","300","300","","","","","","","","","","","",""
"108087","","","","","","","-37.293728","-37.293728","-37.293728","301","301","301","","","","","",""
"108396","","","","","","","","","","","","","25.41254","25.41254","25.41254","301","301","301"
"108807","68.31683","68.31683","68.31683","301","301","301","","","","","","","","","","","",""
"109088","","","","","","","-2.0270271","-2.0270271","-2.0270271","302","302","302","","","","","",""
"109397","","","","","","","","","","","","","-15.540541","-15.540541","-15.540541","302","302","302"
"109808","-2.0270271","-2.0270271","-2.0270271","302","302","302","","","","","","","","","","","",""
"110089","","","","","","","-43.143814","-43.143814","-43.143814","303","303","303","","","","","",""
"110398","","","","","","","","","","","","","-56.52174","-56.52174","-56.52174","303","303","303"
"110809","0.33444816","0.33444816","0.33444816","310","310","310","","","","","","","","","","","",""
"111090","","","","","","","-52.727272","-52.727272","-52.727272","311","311","311","","","","","",""
"111399","","","","","","","","","","","","","-52.727272","-52.727272","-52.727272","311","311","311"
"111810","-16.363636","-16.363636","-16.363636","311","311","311","","","","","","","","","","","",""
"112091","","","","","","","-36.32959","-36.32959","-36.32959","312","312","312","","","","","",""
"112400","","","","","","","","","","","","","124.7191","124.7191","124.7191","312","312","312"
"112811","135.95506","135.95506","135.95506","312","312","312","","","","","","","","","","","",""
"113092","","","","","","","89.09091","89.09091","89.09091","313","313","313","","","","","",""
"113401","","","","","","","","","","","","","23.636364","23.636364","23.636364","313","313","313"
"113812","92.72727","92.72727","92.72727","313","313","313","","","","","","","","","","","",""
"114093","","","","","","","-79.31035","-79.31035","-79.31035","314","314","314","","","","","",""
"114293","","","","","","","","","","","","","-78.655174","-78.655174","-78.655174","314","314","314"
"114599","","","","","","","-114.452286","-114.452286","-114.452286","315","315","315","","","","","",""
"114813","20.689655","20.689655","20.689655","321","321","321","","","","","","","","","","","",""
"115187","","","","","","","-137.32341","-137.32341","-137.32341","323","323","323","","","","","",""
"115294","","","","","","","","","","","","","47.058823","47.058823","47.058823","322","322","322"
"115814","-15.03268","-15.03268","-15.03268","322","322","322","","","","","","","","","","","",""
"116188","","","","","","","-65.64886","-65.64886","-65.64886","324","324","324","","","","","",""
"116295","","","","","","","","","","","","","155.31915","155.31915","155.31915","323","323","323"
"116815","17.021276","17.021276","17.021276","323","323","323","","","","","","","","","","","",""
"117073","","","","","","","","","","","","","-70.729774","-70.729774","-70.729774","324","324","324"
"117189","","","","","","","-49.36709","-49.36709","-49.36709","325","325","325","","","","","",""
"117816","-19.847328","-19.847328","-19.847328","324","324","324","","","","","","","","","","","",""
"118074","","","","","","","","","","","","","-14.556962","-14.556962","-14.556962","325","325","325"
"118190","","","","","","","3.202847","3.202847","3.202847","326","326","326","","","","","",""
"118664","","","","","","","-102.61401","-102.61401","-102.61401","327","327","327","","","","","",""
"118817","-65.18987","-65.18987","-65.18987","332","332","332","","","","","","","","","","","",""
"119075","","","","","","","","","","","","","-14.590747","-14.590747","-14.590747","333","333","333"
"119665","","","","","","","14.285714","14.285714","14.285714","335","335","335","","","","","",""
"119818","-11.032028","-11.032028","-11.032028","333","333","333","","","","","","","","","","","",""
"120076","","","","","","","","","","","","","78.34395","78.34395","78.34395","334","334","334"
"120624","","","","","","","-153.06435","-153.06435","-153.06435","336","336","336","","","","","",""
"120819","-26.751593","-26.751593","-26.751593","334","334","334","","","","","","","","","","","",""
"121077","","","","","","","","","","","","","67.34694","67.34694","67.34694","335","335","335"
"121625","","","","","","","-36.708862","-36.708862","-36.708862","337","337","337","","","","","",""
"121820","-14.285714","-14.285714","-14.285714","335","335","335","","","","","","","","","","","",""
"122078","","","","","","","","","","","","","55.03876","55.03876","55.03876","336","336","336"
"122416","","","","","","","-133.88393","-133.88393","-133.88393","338","338","338","","","","","",""
"122821","31.782946","31.782946","31.782946","336","336","336","","","","","","","","","","","",""
"123079","","","","","","","","","","","","","-62.02532","-62.02532","-62.02532","344","344","344"
"123417","","","","","","","-45.01718","-45.01718","-45.01718","346","346","346","","","","","",""
"123822","-1.8987342","-1.8987342","-1.8987342","344","344","344","","","","","","","","","","","",""
"124080","","","","","","","","","","","","","41.4791","41.4791","41.4791","345","345","345"
"124418","","","","","","","-40.520447","-40.520447","-40.520447","347","347","347","","","","","",""
"124823","54.340836","54.340836","54.340836","345","345","345","","","","","","","","","","","",""
"125081","","","","","","","","","","","","","37.457047","37.457047","37.457047","346","346","346"
"125419","","","","","","","-60.13289","-60.13289","-60.13289","348","348","348","","","","","",""
"125824","34.02062","34.02062","34.02062","346","346","346","","","","","","","","","","","",""
"126082","","","","","","","","","","","","","0.37174723","0.37174723","0.37174723","347","347","347"
"126420","","","","","","","-55.932205","-55.932205","-55.932205","349","349","349","","","","","",""
"126819","-121.233086","-121.233086","-121.233086","347","347","347","","","","","","","","","","","",""
"127083","","","","","","","","","","","","","36.212624","36.212624","36.212624","355","355","355"
"127421","","","","","","","-79.591835","-79.591835","-79.591835","357","357","357","","","","","",""
"127820","39.534885","39.534885","39.534885","355","355","355","","","","","","","","","","","",""
"128084","","","","","","","","","","","","","93.22034","93.22034","93.22034","356","356","356"
