"Step","90p gc + 0.99 decay - charts/network_transfer_in_mb","90p gc + 0.99 decay - charts/network_transfer_in_mb__MIN","90p gc + 0.99 decay - charts/network_transfer_in_mb__MAX","1774140526-grad-compression=accumulate-grads - charts/network_transfer_in_mb","1774140526-grad-compression=accumulate-grads - charts/network_transfer_in_mb__MIN","1774140526-grad-compression=accumulate-grads - charts/network_transfer_in_mb__MAX","1774138806-grad-compression=None - charts/network_transfer_in_mb","1774138806-grad-compression=None - charts/network_transfer_in_mb__MIN","1774138806-grad-compression=None - charts/network_transfer_in_mb__MAX"
"10","1396.4911","1396.4911","1396.4911","1399.8805","1399.8805","1399.8805","1394.046","1394.046","1394.046"
"21","2795.736","2795.736","2795.736","2799.5537","2799.5537","2799.5537","2788.0378","2788.0378","2788.0378"
"32","4195.6016","4195.6016","4195.6016","4199.306","4199.306","4199.306","4182.0405","4182.0405","4182.0405"
"43","5595.298","5595.298","5595.298","5598.9326","5598.9326","5598.9326","5576.048","5576.048","5576.048"
"54","6994.8525","6994.8525","6994.8525","6998.783","6998.783","6998.783","6969.8276","6969.8276","6969.8276"
"65","8394.406","8394.406","8394.406","8398.758","8398.758","8398.758","8363.756","8363.756","8363.756"
"76","9794.009","9794.009","9794.009","9798.618","9798.618","9798.618","9758.472","9758.472","9758.472"
"87","11194.114","11194.114","11194.114","11198.65","11198.65","11198.65","11156.148","11156.148","11156.148"
"98","12080.416","12080.416","12080.416","12084.665","12084.665","12084.665","12555.276","12555.276","12555.276"
"109","12966.837","12966.837","12966.837","12970.858","12970.858","12970.858","13954.645","13954.645","13954.645"
"121","13853.16","13853.16","13853.16","13856.628","13856.628","13856.628","15353.796","15353.796","15353.796"
"132","14738.965","14738.965","14738.965","14742.609","14742.609","14742.609","16752.61","16752.61","16752.61"
"143","15624.933","15624.933","15624.933","15628.103","15628.103","15628.103","18151.754","18151.754","18151.754"
"154","16510.807","16510.807","16510.807","16514.13","16514.13","16514.13","19551.006","19551.006","19551.006"
"165","17396.895","17396.895","17396.895","17399.928","17399.928","17399.928","20950.664","20950.664","20950.664"
"176","18283.158","18283.158","18283.158","18285.94","18285.94","18285.94","22350.064","22350.064","22350.064"
"187","19169.197","19169.197","19169.197","19172.06","19172.06","19172.06","23749.17","23749.17","23749.17"
"198","20054.613","20054.613","20054.613","20057.89","20057.89","20057.89","25147.643","25147.643","25147.643"
"209","20940.607","20940.607","20940.607","20943.47","20943.47","20943.47","26546.393","26546.393","26546.393"
"220","21826.705","21826.705","21826.705","21829.246","21829.246","21829.246","27945.68","27945.68","27945.68"
"231","22712.799","22712.799","22712.799","22715.283","22715.283","22715.283","","",""
"232","","","","","","","29344.94","29344.94","29344.94"
"243","23598.707","23598.707","23598.707","23601.336","23601.336","23601.336","30743.854","30743.854","30743.854"
"254","24484.744","24484.744","24484.744","24487.379","24487.379","24487.379","32142.906","32142.906","32142.906"
"265","25371.09","25371.09","25371.09","25373.578","25373.578","25373.578","33541.84","33541.84","33541.84"
"276","26257.121","26257.121","26257.121","26259.54","26259.54","26259.54","34940.32","34940.32","34940.32"
"287","","","","27145.664","27145.664","27145.664","36338.688","36338.688","36338.688"
"288","27143.354","27143.354","27143.354","","","","","",""
"298","","","","28031.9","28031.9","28031.9","37737.36","37737.36","37737.36"
"299","28028.908","28028.908","28028.908","","","","","",""
"309","","","","28918.053","28918.053","28918.053","","",""
"310","28915.057","28915.057","28915.057","","","","39136.22","39136.22","39136.22"
"320","","","","29804.346","29804.346","29804.346","","",""
"321","29801.047","29801.047","29801.047","","","","40534.707","40534.707","40534.707"
"331","","","","30690.434","30690.434","30690.434","","",""
"332","","","","","","","41933.023","41933.023","41933.023"
"333","30686.527","30686.527","30686.527","","","","","",""
"343","","","","31576.693","31576.693","31576.693","43331.223","43331.223","43331.223"
"345","31572.945","31572.945","31572.945","","","","","",""
"354","","","","32462.146","32462.146","32462.146","44729.49","44729.49","44729.49"
"356","32459.19","32459.19","32459.19","","","","","",""
"365","","","","33348.15","33348.15","33348.15","46127.785","46127.785","46127.785"
"368","33345.2","33345.2","33345.2","","","","","",""
"376","","","","34234.582","34234.582","34234.582","","",""
"377","","","","","","","47526.33","47526.33","47526.33"
"379","34231.387","34231.387","34231.387","","","","","",""
"387","","","","35119.844","35119.844","35119.844","","",""
"388","","","","","","","48924.812","48924.812","48924.812"
"390","35117.22","35117.22","35117.22","","","","","",""
"398","","","","36005.918","36005.918","36005.918","","",""
"399","","","","","","","50323.508","50323.508","50323.508"
"402","36003.45","36003.45","36003.45","","","","","",""
"409","","","","36891.914","36891.914","36891.914","","",""
"410","","","","","","","51722.152","51722.152","51722.152"
"413","36889.336","36889.336","36889.336","","","","","",""
"420","","","","37777.793","37777.793","37777.793","","",""
"421","","","","","","","53121.234","53121.234","53121.234"
"424","37775.41","37775.41","37775.41","","","","","",""
"431","","","","38663.785","38663.785","38663.785","","",""
"432","","","","","","","54520.17","54520.17","54520.17"
"437","38661.562","38661.562","38661.562","","","","","",""
"442","","","","39549.656","39549.656","39549.656","","",""
"443","","","","","","","55918.85","55918.85","55918.85"
"449","39547.9","39547.9","39547.9","","","","","",""
"453","","","","40435.586","40435.586","40435.586","","",""
"454","","","","","","","57317.46","57317.46","57317.46"
"460","40434.03","40434.03","40434.03","","","","","",""
"465","","","","41321.68","41321.68","41321.68","58716.004","58716.004","58716.004"
"471","41319.91","41319.91","41319.91","","","","","",""
"476","","","","42207.773","42207.773","42207.773","60114.543","60114.543","60114.543"
"483","42206.004","42206.004","42206.004","","","","","",""
"487","","","","43093.336","43093.336","43093.336","61513.34","61513.34","61513.34"
"494","43092.367","43092.367","43092.367","","","","","",""
"498","","","","43979.387","43979.387","43979.387","","",""
"499","","","","","","","62911.785","62911.785","62911.785"
"505","43978.414","43978.414","43978.414","","","","","",""
"509","","","","44865.43","44865.43","44865.43","","",""
"510","","","","","","","64310.715","64310.715","64310.715"
"516","44864.664","44864.664","44864.664","","","","","",""
"520","","","","45751.61","45751.61","45751.61","","",""
"521","","","","","","","65709.125","65709.125","65709.125"
"528","45750.88","45750.88","45750.88","","","","","",""
"531","","","","46637.188","46637.188","46637.188","","",""
"532","","","","","","","67107.93","67107.93","67107.93"
"539","46637.145","46637.145","46637.145","","","","","",""
"542","","","","47523.402","47523.402","47523.402","","",""
"543","","","","","","","68506.59","68506.59","68506.59"
"550","47523.453","47523.453","47523.453","","","","","",""
"553","","","","48409.098","48409.098","48409.098","","",""
"555","","","","","","","69905.45","69905.45","69905.45"
"561","48409.344","48409.344","48409.344","","","","","",""
"564","","","","49295.594","49295.594","49295.594","","",""
"566","","","","","","","71303.94","71303.94","71303.94"
"572","49295.523","49295.523","49295.523","","","","","",""
"575","","","","50181.78","50181.78","50181.78","","",""
"577","","","","","","","72702.46","72702.46","72702.46"
"584","50181.223","50181.223","50181.223","","","","","",""
"587","","","","51067.375","51067.375","51067.375","","",""
"589","","","","","","","74101.42","74101.42","74101.42"
"595","51067.562","51067.562","51067.562","","","","","",""
"598","","","","51953.27","51953.27","51953.27","","",""
"600","","","","","","","75500.64","75500.64","75500.64"
"607","51953.293","51953.293","51953.293","","","","","",""
"609","","","","52839.37","52839.37","52839.37","","",""
"611","","","","","","","76899.12","76899.12","76899.12"
"619","52839.57","52839.57","52839.57","","","","","",""
"620","","","","53725.777","53725.777","53725.777","","",""
"622","","","","","","","78298","78298","78298"
"630","53725.21","53725.21","53725.21","","","","","",""
"631","","","","54611.766","54611.766","54611.766","","",""
"633","","","","","","","79697.28","79697.28","79697.28"
"642","54611.58","54611.58","54611.58","55497.895","55497.895","55497.895","","",""
"645","","","","","","","81095.55","81095.55","81095.55"
"653","55497.492","55497.492","55497.492","56383.957","56383.957","56383.957","","",""
"656","","","","","","","82494.48","82494.48","82494.48"
"664","","","","57269.918","57269.918","57269.918","","",""
"665","56383.64","56383.64","56383.64","","","","","",""
"667","","","","","","","83893.164","83893.164","83893.164"
"675","","","","58156.035","58156.035","58156.035","","",""
"676","57269.7","57269.7","57269.7","","","","","",""
"679","","","","","","","85292.14","85292.14","85292.14"
"686","","","","59042.188","59042.188","59042.188","","",""
"687","58155.848","58155.848","58155.848","","","","","",""
"690","","","","","","","86690.805","86690.805","86690.805"
"698","","","","59928.34","59928.34","59928.34","","",""
"699","59042.2","59042.2","59042.2","","","","","",""
"702","","","","","","","88089.484","88089.484","88089.484"
"709","","","","60813.945","60813.945","60813.945","","",""
"710","59928.4","59928.4","59928.4","","","","","",""
"713","","","","","","","89488.02","89488.02","89488.02"
"720","","","","61700.24","61700.24","61700.24","","",""
"721","60814.594","60814.594","60814.594","","","","","",""
"724","","","","","","","90886.36","90886.36","90886.36"
"731","","","","62586.195","62586.195","62586.195","","",""
"732","61700.547","61700.547","61700.547","","","","","",""
"736","","","","","","","92284.336","92284.336","92284.336"
"742","","","","63472.168","63472.168","63472.168","","",""
"743","62586.633","62586.633","62586.633","","","","","",""
"747","","","","","","","93682.73","93682.73","93682.73"
"753","","","","64358.19","64358.19","64358.19","","",""
"756","63472.86","63472.86","63472.86","","","","","",""
"758","","","","","","","95081.484","95081.484","95081.484"
"764","","","","65244.105","65244.105","65244.105","","",""
"767","64358.79","64358.79","64358.79","","","","","",""
"769","","","","","","","96480.23","96480.23","96480.23"
"775","","","","66130.09","66130.09","66130.09","","",""
"778","65245.016","65245.016","65245.016","","","","","",""
"781","","","","","","","97878.78","97878.78","97878.78"
"786","","","","67016.02","67016.02","67016.02","","",""
"790","66131.125","66131.125","66131.125","","","","","",""
"792","","","","","","","99277.52","99277.52","99277.52"
"797","","","","67901.72","67901.72","67901.72","","",""
"802","67017.12","67017.12","67017.12","","","","","",""
"804","","","","","","","100676.48","100676.48","100676.48"
"808","","","","68787.77","68787.77","68787.77","","",""
