"global_step","1777156828-grad-compression=surprise - charts/episodic_return","1777156828-grad-compression=surprise - charts/episodic_return__MIN","1777156828-grad-compression=surprise - charts/episodic_return__MAX","1777156828-grad-compression=surprise - _step","1777156828-grad-compression=surprise - _step__MIN","1777156828-grad-compression=surprise - _step__MAX","1776981725-grad-compression=none - charts/episodic_return","1776981725-grad-compression=none - charts/episodic_return__MIN","1776981725-grad-compression=none - charts/episodic_return__MAX","1776981725-grad-compression=none - _step","1776981725-grad-compression=none - _step__MIN","1776981725-grad-compression=none - _step__MAX"
"49957","-38.311687","-38.311687","-38.311687","216","216","216","","","","","",""
"50759","","","","","","","-54.918034","-54.918034","-54.918034","184","184","184"
"50958","-38.52459","-38.52459","-38.52459","217","217","217","","","","","",""
"51760","","","","","","","-48.63014","-48.63014","-48.63014","185","185","185"
"51959","-48.63014","-48.63014","-48.63014","218","218","218","","","","","",""
"52761","","","","","","","-52.531647","-52.531647","-52.531647","186","186","186"
"52960","-46.20253","-46.20253","-46.20253","219","219","219","","","","","",""
"53762","","","","","","","-82.69896","-82.69896","-82.69896","197","197","197"
"53961","-61.937717","-61.937717","-61.937717","235","235","235","","","","","",""
"54763","","","","","","","-68.75","-68.75","-68.75","198","198","198"
"54962","-68.75","-68.75","-68.75","236","236","236","","","","","",""
"55764","","","","","","","-47.761192","-47.761192","-47.761192","199","199","199"
"55963","-55.22388","-55.22388","-55.22388","237","237","237","","","","","",""
"56765","","","","","","","-63.69637","-63.69637","-63.69637","200","200","200"
"56964","-60.396038","-60.396038","-60.396038","238","238","238","","","","","",""
"57766","","","","","","","-49.82079","-49.82079","-49.82079","211","211","211"
"57965","-71.326164","-71.326164","-71.326164","254","254","254","","","","","",""
"58767","","","","","","","28.113878","28.113878","28.113878","212","212","212"
"58966","-57.295372","-57.295372","-57.295372","255","255","255","","","","","",""
"59768","","","","","","","-32.624115","-32.624115","-32.624115","213","213","213"
"59967","-43.262413","-43.262413","-43.262413","256","256","256","","","","","",""
"60769","","","","","","","-74.26471","-74.26471","-74.26471","214","214","214"
"60968","-70.588234","-70.588234","-70.588234","257","257","257","","","","","",""
"61770","","","","","","","-36.758892","-36.758892","-36.758892","225","225","225"
"61969","-72.332016","-72.332016","-72.332016","273","273","273","","","","","",""
"62771","","","","","","","-74.19355","-74.19355","-74.19355","226","226","226"
"62970","-45.16129","-45.16129","-45.16129","274","274","274","","","","","",""
"63772","","","","","","","-54.098362","-54.098362","-54.098362","227","227","227"
"63971","-27.868853","-27.868853","-27.868853","275","275","275","","","","","",""
"64773","","","","","","","-27.33564","-27.33564","-27.33564","228","228","228"
"64972","-41.17647","-41.17647","-41.17647","276","276","276","","","","","",""
"65774","","","","","","","-64.15771","-64.15771","-64.15771","239","239","239"
"65973","-56.989246","-56.989246","-56.989246","292","292","292","","","","","",""
"66775","","","","","","","-27.0073","-27.0073","-27.0073","240","240","240"
"66974","-67.15328","-67.15328","-67.15328","293","293","293","","","","","",""
"67776","","","","","","","-37.5","-37.5","-37.5","241","241","241"
"67975","-50.657894","-50.657894","-50.657894","294","294","294","","","","","",""
"68777","","","","","","","-49.82079","-49.82079","-49.82079","242","242","242"
"68976","-10.394265","-10.394265","-10.394265","295","295","295","","","","","",""
"69778","","","","","","","-30.59937","-30.59937","-30.59937","253","253","253"
"69977","-2.208202","-2.208202","-2.208202","311","311","311","","","","","",""
"70779","","","","","","","-79.86577","-79.86577","-79.86577","254","254","254"
"70978","-32.885906","-32.885906","-32.885906","312","312","312","","","","","",""
"71780","","","","","","","24.161074","24.161074","24.161074","255","255","255"
"71979","-63.08725","-63.08725","-63.08725","313","313","313","","","","","",""
"72781","","","","","","","-75.945015","-75.945015","-75.945015","256","256","256"
"72980","-58.762886","-58.762886","-58.762886","314","314","314","","","","","",""
"73782","","","","","","","-69.96997","-69.96997","-69.96997","267","267","267"
"73981","-63.963963","-63.963963","-63.963963","330","330","330","","","","","",""
"74783","","","","","","","4.7619047","4.7619047","4.7619047","268","268","268"
"74982","-77.77778","-77.77778","-77.77778","331","331","331","","","","","",""
"75784","","","","","","","-27.631578","-27.631578","-27.631578","269","269","269"
"75983","-67.10526","-67.10526","-67.10526","332","332","332","","","","","",""
"76785","","","","","","","-42.528736","-42.528736","-42.528736","270","270","270"
"76984","-61.685825","-61.685825","-61.685825","333","333","333","","","","","",""
"77786","","","","","","","-18.699186","-18.699186","-18.699186","271","271","271"
"77985","-59.349594","-59.349594","-59.349594","349","349","349","","","","","",""
"78787","","","","","","","3.3333333","3.3333333","3.3333333","282","282","282"
"78986","-63.333332","-63.333332","-63.333332","350","350","350","","","","","",""
"79788","","","","","","","25.461254","25.461254","25.461254","283","283","283"
"79987","-74.16974","-74.16974","-74.16974","351","351","351","","","","","",""
"80789","","","","","","","-33.774834","-33.774834","-33.774834","284","284","284"
"80988","-70.19868","-70.19868","-70.19868","352","352","352","","","","","",""
"81790","","","","","","","-26.573427","-26.573427","-26.573427","285","285","285"
"81989","-65.034966","-65.034966","-65.034966","368","368","368","","","","","",""
"82791","","","","","","","-48.80546","-48.80546","-48.80546","296","296","296"
"82990","-41.979523","-41.979523","-41.979523","369","369","369","","","","","",""
"83792","","","","","","","-18.518518","-18.518518","-18.518518","297","297","297"
"83991","-70.37037","-70.37037","-70.37037","370","370","370","","","","","",""
"84793","","","","","","","74.05064","74.05064","74.05064","298","298","298"
"84992","-68.35443","-68.35443","-68.35443","371","371","371","","","","","",""
"85794","","","","","","","-68.05112","-68.05112","-68.05112","299","299","299"
"85993","-26.517572","-26.517572","-26.517572","372","372","372","","","","","",""
"86795","","","","","","","-4.5801525","-4.5801525","-4.5801525","310","310","310"
"86994","18.32061","18.32061","18.32061","388","388","388","","","","","",""
"87796","","","","","","","-44.85294","-44.85294","-44.85294","311","311","311"
"87995","-19.117647","-19.117647","-19.117647","389","389","389","","","","","",""
"88797","","","","","","","-5.6603775","-5.6603775","-5.6603775","312","312","312"
"88996","6.918239","6.918239","6.918239","390","390","390","","","","","",""
"89791","-119.49934","-119.49934","-119.49934","391","391","391","","","","","",""
"89798","","","","","","","-60.13289","-60.13289","-60.13289","313","313","313"
"90792","-25","-25","-25","407","407","407","","","","","",""
"90799","","","","","","","35.714287","35.714287","35.714287","324","324","324"
"91793","-1.2345679","-1.2345679","-1.2345679","408","408","408","","","","","",""
"91800","","","","","","","-41.358025","-41.358025","-41.358025","325","325","325"
"92794","-80.891716","-80.891716","-80.891716","409","409","409","","","","","",""
"92801","","","","","","","-58.598724","-58.598724","-58.598724","326","326","326"
"93795","-47.36842","-47.36842","-47.36842","410","410","410","","","","","",""
"93802","","","","","","","-29.824562","-29.824562","-29.824562","327","327","327"
"94796","-30.379747","-30.379747","-30.379747","426","426","426","","","","","",""
"94803","","","","","","","-20.886076","-20.886076","-20.886076","338","338","338"
"95797","7.5268817","7.5268817","7.5268817","427","427","427","","","","","",""
