"global_step","1777156828-grad-compression=surprise - charts/episodic_return","1777156828-grad-compression=surprise - charts/episodic_return__MIN","1777156828-grad-compression=surprise - charts/episodic_return__MAX","1777156828-grad-compression=surprise - _step","1777156828-grad-compression=surprise - _step__MIN","1777156828-grad-compression=surprise - _step__MAX","1776981725-grad-compression=none - charts/episodic_return","1776981725-grad-compression=none - charts/episodic_return__MIN","1776981725-grad-compression=none - charts/episodic_return__MAX","1776981725-grad-compression=none - _step","1776981725-grad-compression=none - _step__MIN","1776981725-grad-compression=none - _step__MAX"
"191890","-9.090909","-9.090909","-9.090909","869","869","869","","","","","",""
"192469","","","","","","","563.12054","563.12054","563.12054","667","667","667"
"192891","38.29787","38.29787","38.29787","885","885","885","","","","","",""
"193470","","","","","","","724.91583","724.91583","724.91583","678","678","678"
"193892","-39.39394","-39.39394","-39.39394","886","886","886","","","","","",""
"194471","","","","","","","512.37787","512.37787","512.37787","679","679","679"
"194893","-80.456024","-80.456024","-80.456024","887","887","887","","","","","",""
"195472","","","","","","","652.4752","652.4752","652.4752","680","680","680"
"195894","-7.5907593","-7.5907593","-7.5907593","888","888","888","","","","","",""
"196473","","","","","","","682.0069","682.0069","682.0069","681","681","681"
"196895","10.726644","10.726644","10.726644","904","904","904","","","","","",""
"197474","","","","","","","103.44827","103.44827","103.44827","692","692","692"
"197896","-79.31035","-79.31035","-79.31035","905","905","905","","","","","",""
"198475","","","","","","","788.8889","788.8889","788.8889","693","693","693"
"198897","-66.32996","-66.32996","-66.32996","906","906","906","","","","","",""
"199476","","","","","","","604.3189","604.3189","604.3189","694","694","694"
"199898","-73.42193","-73.42193","-73.42193","907","907","907","","","","","",""
"200477","","","","","","","581.4815","581.4815","581.4815","695","695","695"
"200899","3.7037036","3.7037036","3.7037036","923","923","923","","","","","",""
"201478","","","","","","","826.07007","826.07007","826.07007","706","706","706"
"201900","16.731518","16.731518","16.731518","924","924","924","","","","","",""
"202479","","","","","","","228.99023","228.99023","228.99023","707","707","707"
"202901","-80.456024","-80.456024","-80.456024","925","925","925","","","","","",""
"203480","","","","","","","347.91666","347.91666","347.91666","708","708","708"
"203902","-72.22222","-72.22222","-72.22222","926","926","926","","","","","",""
"204481","","","","","","","756.20917","756.20917","756.20917","709","709","709"
"204903","-15.03268","-15.03268","-15.03268","942","942","942","","","","","",""
"205482","","","","","","","662.987","662.987","662.987","720","720","720"
"205904","-64.28571","-64.28571","-64.28571","943","943","943","","","","","",""
"206483","","","","","","","524.60565","524.60565","524.60565","721","721","721"
"206905","-40.06309","-40.06309","-40.06309","944","944","944","","","","","",""
"207484","","","","","","","860.85406","860.85406","860.85406","722","722","722"
"207906","-7.4733095","-7.4733095","-7.4733095","945","945","945","","","","","",""
"208485","","","","","","","327.18448","327.18448","327.18448","723","723","723"
"208907","-28.80259","-28.80259","-28.80259","961","961","961","","","","","",""
"209486","","","","","","","597.9866","597.9866","597.9866","734","734","734"
"209908","-79.86577","-79.86577","-79.86577","962","962","962","","","","","",""
"210487","","","","","","","451.6129","451.6129","451.6129","735","735","735"
"210909","61.29032","61.29032","61.29032","963","963","963","","","","","",""
"211488","","","","","","","283.90094","283.90094","283.90094","736","736","736"
"211910","-4.024768","-4.024768","-4.024768","964","964","964","","","","","",""
"212489","","","","","","","685.21124","685.21124","685.21124","737","737","737"
"212911","9.154929","9.154929","9.154929","965","965","965","","","","","",""
"213490","","","","","","","878.022","878.022","878.022","748","748","748"
"213912","13.553114","13.553114","13.553114","981","981","981","","","","","",""
"214491","","","","","","","190.42905","190.42905","190.42905","749","749","749"
"214913","-80.19802","-80.19802","-80.19802","982","982","982","","","","","",""
"215492","","","","","","","401.52905","401.52905","401.52905","750","750","750"
"215914","-17.431192","-17.431192","-17.431192","983","983","983","","","","","",""
"216493","","","","","","","536.9863","536.9863","536.9863","751","751","751"
"216915","-34.931507","-34.931507","-34.931507","984","984","984","","","","","",""
"217494","","","","","","","377.98743","377.98743","377.98743","762","762","762"
"217916","-30.81761","-30.81761","-30.81761","1000","1000","1000","","","","","",""
"218495","","","","","","","626.6187","626.6187","626.6187","763","763","763"
"218917","-78.41727","-78.41727","-78.41727","1001","1001","1001","","","","","",""
"219496","","","","","","","609.0301","609.0301","609.0301","764","764","764"
"219918","-73.24415","-73.24415","-73.24415","1002","1002","1002","","","","","",""
"220497","","","","","","","278.64078","278.64078","278.64078","765","765","765"
"220919","-41.747574","-41.747574","-41.747574","1003","1003","1003","","","","","",""
"221498","","","","","","","812.33765","812.33765","812.33765","776","776","776"
"221920","-12.337663","-12.337663","-12.337663","1019","1019","1019","","","","","",""
"222101","","","","","","","-8.487097","-8.487097","-8.487097","777","777","777"
"222921","16.129032","16.129032","16.129032","1020","1020","1020","","","","","",""
"223102","","","","","","","418.0723","418.0723","418.0723","778","778","778"
"223922","-15.662651","-15.662651","-15.662651","1021","1021","1021","","","","","",""
"224103","","","","","","","598.9619","598.9619","598.9619","779","779","779"
"224923","-30.795847","-30.795847","-30.795847","1022","1022","1022","","","","","",""
"225104","","","","","","","814.8936","814.8936","814.8936","780","780","780"
"225924","-14.893617","-14.893617","-14.893617","1038","1038","1038","","","","","",""
"226105","","","","","","","768.1672","768.1672","768.1672","791","791","791"
"226925","-51.76849","-51.76849","-51.76849","1039","1039","1039","","","","","",""
"227106","","","","","","","483.0619","483.0619","483.0619","792","792","792"
"227926","-67.42671","-67.42671","-67.42671","1040","1040","1040","","","","","",""
"228107","","","","","","","374.68353","374.68353","374.68353","793","793","793"
"228927","-55.6962","-55.6962","-55.6962","1041","1041","1041","","","","","",""
"229108","","","","","","","209.14827","209.14827","209.14827","794","794","794"
"229928","-46.37224","-46.37224","-46.37224","1057","1057","1057","","","","","",""
"230109","","","","","","","325.60553","325.60553","325.60553","805","805","805"
"230929","-55.0173","-55.0173","-55.0173","1058","1058","1058","","","","","",""
"231110","","","","","","","872.88135","872.88135","872.88135","806","806","806"
"231930","55.932205","55.932205","55.932205","1059","1059","1059","","","","","",""
"232111","","","","","","","863.0872","863.0872","863.0872","807","807","807"
"232931","101.342285","101.342285","101.342285","1060","1060","1060","","","","","",""
"233112","","","","","","","795.4704","795.4704","795.4704","808","808","808"
"233932","-5.923345","-5.923345","-5.923345","1076","1076","1076","","","","","",""
"234113","","","","","","","862.96295","862.96295","862.96295","819","819","819"
"234933","-25.925926","-25.925926","-25.925926","1077","1077","1077","","","","","",""
"235114","","","","","","","37.38019","37.38019","37.38019","820","820","820"
"235934","85.30351","85.30351","85.30351","1078","1078","1078","","","","","",""
"236115","","","","","","","259.87262","259.87262","259.87262","821","821","821"
"236935","-36.305733","-36.305733","-36.305733","1079","1079","1079","","","","","",""
"237116","","","","","","","562.6866","562.6866","562.6866","822","822","822"
"237867","-130.31343","-130.31343","-130.31343","1095","1095","1095","","","","","",""
"238117","","","","","","","314.33023","314.33023","314.33023","833","833","833"
"238868","-50.15576","-50.15576","-50.15576","1096","1096","1096","","","","","",""
"239118","","","","","","","305.3156","305.3156","305.3156","834","834","834"
"239869","46.1794","46.1794","46.1794","1097","1097","1097","","","","","",""
"240119","","","","","","","823.37164","823.37164","823.37164","835","835","835"
"240870","-50.19157","-50.19157","-50.19157","1098","1098","1098","","","","","",""
"241120","","","","","","","277.48343","277.48343","277.48343","836","836","836"
"241871","58.9404","58.9404","58.9404","1114","1114","1114","","","","","",""
"242121","","","","","","","251.85185","251.85185","251.85185","847","847","847"
"242872","-7.858991e-13","-7.858991e-13","-7.858991e-13","1115","1115","1115","","","","","",""
"243122","","","","","","","398.32776","398.32776","398.32776","848","848","848"
"243873","80.602005","80.602005","80.602005","1116","1116","1116","","","","","",""
"244123","","","","","","","450","450","450","849","849","849"
"244874","38.46154","38.46154","38.46154","1117","1117","1117","","","","","",""
"245124","","","","","","","610.5263","610.5263","610.5263","850","850","850"
"245875","-24.81203","-24.81203","-24.81203","1133","1133","1133","","","","","",""
"246125","","","","","","","809.7744","809.7744","809.7744","861","861","861"
"246876","-28.571428","-28.571428","-28.571428","1134","1134","1134","","","","","",""
"247126","","","","","","","863.8554","863.8554","863.8554","862","862","862"
"247877","40.56225","40.56225","40.56225","1135","1135","1135","","","","","",""
"248127","","","","","","","430.12048","430.12048","430.12048","863","863","863"
"248878","-3.6144578","-3.6144578","-3.6144578","1136","1136","1136","","","","","",""
"249128","","","","","","","691.8089","691.8089","691.8089","864","864","864"
"249879","-21.501707","-21.501707","-21.501707","1152","1152","1152","","","","","",""
"250129","","","","","","","505.5777","505.5777","505.5777","875","875","875"
"250880","206.7729","206.7729","206.7729","1153","1153","1153","","","","","",""
"251130","","","","","","","857.3771","857.3771","857.3771","876","876","876"
"251881","-70.491806","-70.491806","-70.491806","1154","1154","1154","","","","","",""
"252131","","","","","","","337.29904","337.29904","337.29904","877","877","877"
"252790","","","","","","","2.6501684","2.6501684","2.6501684","878","878","878"
"252882","-9.967846","-9.967846","-9.967846","1155","1155","1155","","","","","",""
"253791","","","","","","","35.048233","35.048233","35.048233","879","879","879"
"253883","-52.861954","-52.861954","-52.861954","1156","1156","1156","","","","","",""
"254792","","","","","","","665.06024","665.06024","665.06024","890","890","890"
"254884","-26.045015","-26.045015","-26.045015","1172","1172","1172","","","","","",""
"255793","","","","","","","169.62457","169.62457","169.62457","891","891","891"
"255885","-63.855423","-63.855423","-63.855423","1173","1173","1173","","","","","",""
"256794","","","","","","","315.84158","315.84158","315.84158","892","892","892"
"256886","-21.501707","-21.501707","-21.501707","1174","1174","1174","","","","","",""
"257795","","","","","","","886.3014","886.3014","886.3014","893","893","893"
"257887","61.71617","61.71617","61.71617","1175","1175","1175","","","","","",""
"258753","-128.18082","-128.18082","-128.18082","1191","1191","1191","","","","","",""
"258796","","","","","","","112.025314","112.025314","112.025314","904","904","904"
"259754","-30.379747","-30.379747","-30.379747","1192","1192","1192","","","","","",""
"259797","","","","","","","440.3509","440.3509","440.3509","905","905","905"
"260755","61.403507","61.403507","61.403507","1193","1193","1193","","","","","",""
"260798","","","","","","","529.7578","529.7578","529.7578","906","906","906"
"261756","21.107267","21.107267","21.107267","1194","1194","1194","","","","","",""
"261799","","","","","","","780.9524","780.9524","780.9524","907","907","907"
"262757","-45.57823","-45.57823","-45.57823","1210","1210","1210","","","","","",""
"262800","","","","","","","570.06805","570.06805","570.06805","918","918","918"
"263756","-46.638775","-46.638775","-46.638775","1211","1211","1211","","","","","",""
"263801","","","","","","","167.32674","167.32674","167.32674","919","919","919"
"264757","-66.9967","-66.9967","-66.9967","1212","1212","1212","","","","","",""
"264802","","","","","","","419.29825","419.29825","419.29825","920","920","920"
"265758","-64.91228","-64.91228","-64.91228","1213","1213","1213","","","","","",""
"265803","","","","","","","280.9524","280.9524","280.9524","921","921","921"
"266759","74.60317","74.60317","74.60317","1229","1229","1229","","","","","",""
"266804","","","","","","","240.20619","240.20619","240.20619","932","932","932"
"267760","3.0927835","3.0927835","3.0927835","1230","1230","1230","","","","","",""
"267805","","","","","","","824.59015","824.59015","824.59015","933","933","933"
"268761","63.934425","63.934425","63.934425","1231","1231","1231","","","","","",""
"268806","","","","","","","576.4706","576.4706","576.4706","934","934","934"
"269762","-70.588234","-70.588234","-70.588234","1232","1232","1232","","","","","",""
"269807","","","","","","","82.130585","82.130585","82.130585","935","935","935"
"270763","61.512028","61.512028","61.512028","1248","1248","1248","","","","","",""
"270808","","","","","","","189.08554","189.08554","189.08554","946","946","946"
"271764","-11.504425","-11.504425","-11.504425","1249","1249","1249","","","","","",""
"271809","","","","","","","881.75183","881.75183","881.75183","947","947","947"
"272765","-27.0073","-27.0073","-27.0073","1250","1250","1250","","","","","",""
"272810","","","","","","","391.5825","391.5825","391.5825","948","948","948"
"273766","61.61616","61.61616","61.61616","1251","1251","1251","","","","","",""
"273811","","","","","","","353.94736","353.94736","353.94736","949","949","949"
"274738","","","","","","","907.4","907.4","907.4","960","960","960"
"274767","-70.39474","-70.39474","-70.39474","1267","1267","1267","","","","","",""
"275739","","","","","","","742.46576","742.46576","742.46576","961","961","961"
"275768","-47.36842","-47.36842","-47.36842","1268","1268","1268","","","","","",""
"276740","","","","","","","311.7647","311.7647","311.7647","962","962","962"
"276769","16.438356","16.438356","16.438356","1269","1269","1269","","","","","",""
"277741","","","","","","","406.80273","406.80273","406.80273","963","963","963"
"277770","62.629757","62.629757","62.629757","1270","1270","1270","","","","","",""
"278742","","","","","","","412.73886","412.73886","412.73886","974","974","974"
"278771","-8.163265","-8.163265","-8.163265","1286","1286","1286","","","","","",""
"279743","","","","","","","880.8307","880.8307","880.8307","975","975","975"
"279772","-36.305733","-36.305733","-36.305733","1287","1287","1287","","","","","",""
"280744","","","","","","","651.497","651.497","651.497","976","976","976"
"280773","-0.9584665","-0.9584665","-0.9584665","1288","1288","1288","","","","","",""
"281745","","","","","","","435.11707","435.11707","435.11707","977","977","977"
"281774","-16.167665","-16.167665","-16.167665","1289","1289","1289","","","","","",""
"282746","","","","","","","852","852","852","988","988","988"
"282775","-59.866222","-59.866222","-59.866222","1305","1305","1305","","","","","",""
"283747","","","","","","","863.36993","863.36993","863.36993","989","989","989"
"283776","20","20","20","1306","1306","1306","","","","","",""
"284748","","","","","","","414.7541","414.7541","414.7541","990","990","990"
"284777","-8.424909","-8.424909","-8.424909","1307","1307","1307","","","","","",""
"285119","","","","","","","36.752693","36.752693","36.752693","991","991","991"
"285413","-68.31803","-68.31803","-68.31803","1308","1308","1308","","","","","",""
"286120","","","","","","","682.77155","682.77155","682.77155","992","992","992"
"286414","-19.161676","-19.161676","-19.161676","1309","1309","1309","","","","","",""
"287121","","","","","","","368.1648","368.1648","368.1648","1003","1003","1003"
"287415","49.812733","49.812733","49.812733","1325","1325","1325","","","","","",""
"288122","","","","","","","465.06848","465.06848","465.06848","1004","1004","1004"
"288416","-17.602997","-17.602997","-17.602997","1326","1326","1326","","","","","",""
"289123","","","","","","","385.8934","385.8934","385.8934","1005","1005","1005"
"289417","-7.5342464","-7.5342464","-7.5342464","1327","1327","1327","","","","","",""
"290124","","","","","","","836.24164","836.24164","836.24164","1006","1006","1006"
"290418","50.47022","50.47022","50.47022","1328","1328","1328","","","","","",""
"291125","","","","","","","784.61536","784.61536","784.61536","1017","1017","1017"
"291419","17.449665","17.449665","17.449665","1344","1344","1344","","","","","",""
"291918","","","","","","","467.24146","467.24146","467.24146","1018","1018","1018"
"292420","65.38461","65.38461","65.38461","1345","1345","1345","","","","","",""
"292919","","","","","","","355.88235","355.88235","355.88235","1019","1019","1019"
"293421","-57.317074","-57.317074","-57.317074","1346","1346","1346","","","","","",""
"293920","","","","","","","368.35443","368.35443","368.35443","1020","1020","1020"
"294422","17.647058","17.647058","17.647058","1347","1347","1347","","","","","",""
"294921","","","","","","","584.0278","584.0278","584.0278","1031","1031","1031"
"295423","-74.68355","-74.68355","-74.68355","1363","1363","1363","","","","","",""
"295922","","","","","","","637.20135","637.20135","637.20135","1032","1032","1032"
"296424","7.638889","7.638889","7.638889","1364","1364","1364","","","","","",""
"296923","","","","","","","606.0932","606.0932","606.0932","1033","1033","1033"
"297327","","","","","","","8.075862","8.075862","8.075862","1034","1034","1034"
"297425","-31.740614","-31.740614","-31.740614","1365","1365","1365","","","","","",""
"298328","","","","","","","699.3921","699.3921","699.3921","1035","1035","1035"
"298426","175.98566","175.98566","175.98566","1366","1366","1366","","","","","",""
"299329","","","","","","","785.5219","785.5219","785.5219","1046","1046","1046"
"299427","96.55173","96.55173","96.55173","1382","1382","1382","","","","","",""
"300330","","","","","","","239.74359","239.74359","239.74359","1047","1047","1047"
"300428","-17.93313","-17.93313","-17.93313","1383","1383","1383","","","","","",""
"301331","","","","","","","853.17725","853.17725","853.17725","1048","1048","1048"
"301429","54.882156","54.882156","54.882156","1384","1384","1384","","","","","",""
"302332","","","","","","","250.93167","250.93167","250.93167","1049","1049","1049"
"302430","63.46154","63.46154","63.46154","1385","1385","1385","","","","","",""
"303333","","","","","","","279.43262","279.43262","279.43262","1060","1060","1060"
"303431","33.779263","33.779263","33.779263","1401","1401","1401","","","","","",""
"304334","","","","","","","760.6811","760.6811","760.6811","1061","1061","1061"
"304432","-50.31056","-50.31056","-50.31056","1402","1402","1402","","","","","",""
"305335","","","","","","","331.7343","331.7343","331.7343","1062","1062","1062"
"305433","-14.893617","-14.893617","-14.893617","1403","1403","1403","","","","","",""
"306303","-155.84024","-155.84024","-155.84024","1404","1404","1404","","","","","",""
"306334","","","","","","","-25.281395","-25.281395","-25.281395","1063","1063","1063"
"307304","-22.509226","-22.509226","-22.509226","1420","1420","1420","","","","","",""
"307335","","","","","","","585.39325","585.39325","585.39325","1074","1074","1074"
"308305","39.534885","39.534885","39.534885","1421","1421","1421","","","","","",""
"308336","","","","","","","468.56186","468.56186","468.56186","1075","1075","1075"
"309306","139.70038","139.70038","139.70038","1422","1422","1422","","","","","",""
"309337","","","","","","","665.8863","665.8863","665.8863","1076","1076","1076"
"310307","-16.38796","-16.38796","-16.38796","1423","1423","1423","","","","","",""
"310338","","","","","","","451.85184","451.85184","451.85184","1077","1077","1077"
"311308","-9.698997","-9.698997","-9.698997","1439","1439","1439","","","","","",""
"311339","","","","","","","655.55554","655.55554","655.55554","1088","1088","1088"
"312309","11.111111","11.111111","11.111111","1440","1440","1440","","","","","",""
"312340","","","","","","","767.9245","767.9245","767.9245","1089","1089","1089"
"313056","-96.72222","-96.72222","-96.72222","1441","1441","1441","","","","","",""
"313311","-49.8283","-49.8283","-49.8283","1442","1442","1442","","","","","",""
"313341","","","","","","","216.10942","216.10942","216.10942","1090","1090","1090"
"314312","-17.93313","-17.93313","-17.93313","1443","1443","1443","","","","","",""
"314342","","","","","","","463.21838","463.21838","463.21838","1091","1091","1091"
"315313","14.942529","14.942529","14.942529","1444","1444","1444","","","","","",""
"315343","","","","","","","321.22186","321.22186","321.22186","1092","1092","1092"
"316314","-67.84566","-67.84566","-67.84566","1460","1460","1460","","","","","",""
"316344","","","","","","","422.22223","422.22223","422.22223","1103","1103","1103"
"317315","129.62962","129.62962","129.62962","1461","1461","1461","","","","","",""
"317345","","","","","","","767.64703","767.64703","767.64703","1104","1104","1104"
"318316","-52.205883","-52.205883","-52.205883","1462","1462","1462","","","","","",""
"318346","","","","","","","784.2105","784.2105","784.2105","1105","1105","1105"
"319317","-5.263158","-5.263158","-5.263158","1463","1463","1463","","","","","",""
"319347","","","","","","","181.96721","181.96721","181.96721","1106","1106","1106"
"320318","1.6393442","1.6393442","1.6393442","1479","1479","1479","","","","","",""
"320348","","","","","","","298.7342","298.7342","298.7342","1117","1117","1117"
"321319","-39.873417","-39.873417","-39.873417","1480","1480","1480","","","","","",""
"321349","","","","","","","801.3158","801.3158","801.3158","1118","1118","1118"
"322320","21.710526","21.710526","21.710526","1481","1481","1481","","","","","",""
"322350","","","","","","","722.0065","722.0065","722.0065","1119","1119","1119"
"323321","10.032362","10.032362","10.032362","1482","1482","1482","","","","","",""
"323351","","","","","","","880.64514","880.64514","880.64514","1120","1120","1120"
"324322","-35.48387","-35.48387","-35.48387","1498","1498","1498","","","","","",""
"324352","","","","","","","340.43323","340.43323","340.43323","1131","1131","1131"
"325323","-16.967508","-16.967508","-16.967508","1499","1499","1499","","","","","",""
"325353","","","","","","","335.54007","335.54007","335.54007","1132","1132","1132"
"326324","-44.25087","-44.25087","-44.25087","1500","1500","1500","","","","","",""
"326354","","","","","","","210.67961","210.67961","210.67961","1133","1133","1133"
"327325","19.7411","19.7411","19.7411","1501","1501","1501","","","","","",""
"327355","","","","","","","817.8571","817.8571","817.8571","1134","1134","1134"
"328326","-21.428572","-21.428572","-21.428572","1517","1517","1517","","","","","",""
"328356","","","","","","","212.31232","212.31232","212.31232","1145","1145","1145"
"329327","-27.927927","-27.927927","-27.927927","1518","1518","1518","","","","","",""
"329357","","","","","","","576.8061","576.8061","576.8061","1146","1146","1146"
"330328","40.68441","40.68441","40.68441","1519","1519","1519","","","","","",""
"330358","","","","","","","855.414","855.414","855.414","1147","1147","1147"
"331329","30.573248","30.573248","30.573248","1520","1520","1520","","","","","",""
"331359","","","","","","","265.44852","265.44852","265.44852","1148","1148","1148"
"332330","-0.33222592","-0.33222592","-0.33222592","1536","1536","1536","","","","","",""
"332360","","","","","","","637.22626","637.22626","637.22626","1159","1159","1159"
"333331","20.437956","20.437956","20.437956","1537","1537","1537","","","","","",""
"333361","","","","","","","311.1498","311.1498","311.1498","1160","1160","1160"
"334332","-19.860628","-19.860628","-19.860628","1538","1538","1538","","","","","",""
"334362","","","","","","","467.85715","467.85715","467.85715","1161","1161","1161"
"335333","-28.571428","-28.571428","-28.571428","1539","1539","1539","","","","","",""
"335363","","","","","","","501.3072","501.3072","501.3072","1162","1162","1162"
"336334","-11.764706","-11.764706","-11.764706","1555","1555","1555","","","","","",""
"336364","","","","","","","622.0339","622.0339","622.0339","1173","1173","1173"
"337335","-72.881355","-72.881355","-72.881355","1556","1556","1556","","","","","",""
"337365","","","","","","","461.5942","461.5942","461.5942","1174","1174","1174"
"338336","-34.782608","-34.782608","-34.782608","1557","1557","1557","","","","","",""
"338366","","","","","","","564.311","564.311","564.311","1175","1175","1175"
"339337","-15.194346","-15.194346","-15.194346","1558","1558","1558","","","","","",""
"339367","","","","","","","428.61954","428.61954","428.61954","1176","1176","1176"
"340338","-36.026936","-36.026936","-36.026936","1574","1574","1574","","","","","",""
"340368","","","","","","","173.9274","173.9274","173.9274","1187","1187","1187"
"341339","-33.9934","-33.9934","-33.9934","1575","1575","1575","","","","","",""
"341369","","","","","","","379.72974","379.72974","379.72974","1188","1188","1188"
"342340","65.54054","65.54054","65.54054","1576","1576","1576","","","","","",""
"342370","","","","","","","301.36053","301.36053","301.36053","1189","1189","1189"
"343341","-38.77551","-38.77551","-38.77551","1577","1577","1577","","","","","",""
"343371","","","","","","","795.27026","795.27026","795.27026","1190","1190","1190"
"344342","-35.81081","-35.81081","-35.81081","1593","1593","1593","","","","","",""
"344372","","","","","","","676.59576","676.59576","676.59576","1201","1201","1201"
"345343","-46.80851","-46.80851","-46.80851","1594","1594","1594","","","","","",""
"345373","","","","","","","331.37256","331.37256","331.37256","1202","1202","1202"
"346344","53.594772","53.594772","53.594772","1595","1595","1595","","","","","",""
"346374","","","","","","","286.43066","286.43066","286.43066","1203","1203","1203"
"347345","-32.153393","-32.153393","-32.153393","1596","1596","1596","","","","","",""
"347375","","","","","","","368.53146","368.53146","368.53146","1204","1204","1204"
"348346","-54.545456","-54.545456","-54.545456","1612","1612","1612","","","","","",""
"348376","","","","","","","110.21021","110.21021","110.21021","1215","1215","1215"
"349347","-18.918919","-18.918919","-18.918919","1613","1613","1613","","","","","",""
"349377","","","","","","","327.56183","327.56183","327.56183","1216","1216","1216"
"350348","-15.194346","-15.194346","-15.194346","1614","1614","1614","","","","","",""
"350378","","","","","","","487.59125","487.59125","487.59125","1217","1217","1217"
"351349","35.036495","35.036495","35.036495","1615","1615","1615","","","","","",""
"351379","","","","","","","829.7521","829.7521","829.7521","1218","1218","1218"
"352350","168.59505","168.59505","168.59505","1631","1631","1631","","","","","",""
"352380","","","","","","","738.92615","738.92615","738.92615","1229","1229","1229"
"352980","","","","","","","-21.009964","-21.009964","-21.009964","1230","1230","1230"
"353351","-39.597317","-39.597317","-39.597317","1632","1632","1632","","","","","",""
"353981","","","","","","","350","350","350","1231","1231","1231"
"354352","-18.149466","-18.149466","-18.149466","1633","1633","1633","","","","","",""
"354770","","","","","","","248.83623","248.83623","248.83623","1232","1232","1232"
"355353","-17.857143","-17.857143","-17.857143","1634","1634","1634","","","","","",""
"355771","","","","","","","510.29413","510.29413","510.29413","1233","1233","1233"
"356354","8.695652","8.695652","8.695652","1650","1650","1650","","","","","",""
"356772","","","","","","","332.34323","332.34323","332.34323","1244","1244","1244"
"357355","-48.52941","-48.52941","-48.52941","1651","1651","1651","","","","","",""
"357773","","","","","","","467.1141","467.1141","467.1141","1245","1245","1245"
"358356","-40.59406","-40.59406","-40.59406","1652","1652","1652","","","","","",""
"358774","","","","","","","625.08594","625.08594","625.08594","1246","1246","1246"
"359357","-26.174496","-26.174496","-26.174496","1653","1653","1653","","","","","",""
"359775","","","","","","","389.3048","389.3048","389.3048","1247","1247","1247"
"360351","-144.21718","-144.21718","-144.21718","1654","1654","1654","","","","","",""
"360776","","","","","","","830.06995","830.06995","830.06995","1258","1258","1258"
"361352","-33.15508","-33.15508","-33.15508","1670","1670","1670","","","","","",""
"361777","","","","","","","268.61313","268.61313","268.61313","1259","1259","1259"
"362353","4.895105","4.895105","4.895105","1671","1671","1671","","","","","",""
"362778","","","","","","","561.01697","561.01697","561.01697","1260","1260","1260"
"363354","-45.255474","-45.255474","-45.255474","1672","1672","1672","","","","","",""
"363779","","","","","","","430.67484","430.67484","430.67484","1261","1261","1261"
"364355","-62.711864","-62.711864","-62.711864","1673","1673","1673","","","","","",""
"364780","","","","","","","622.39746","622.39746","622.39746","1272","1272","1272"
"365356","16.564417","16.564417","16.564417","1689","1689","1689","","","","","",""
"365781","","","","","","","278.57144","278.57144","278.57144","1273","1273","1273"
"366357","-24.29022","-24.29022","-24.29022","1690","1690","1690","","","","","",""
"366782","","","","","","","614.2857","614.2857","614.2857","1274","1274","1274"
"367358","10.714286","10.714286","10.714286","1691","1691","1691","","","","","",""
"367783","","","","","","","755.07245","755.07245","755.07245","1275","1275","1275"
"368359","1.5037594","1.5037594","1.5037594","1692","1692","1692","","","","","",""
"368784","","","","","","","409.1575","409.1575","409.1575","1286","1286","1286"
"369360","-31.15942","-31.15942","-31.15942","1708","1708","1708","","","","","",""
"369785","","","","","","","307.4074","307.4074","307.4074","1287","1287","1287"
"370361","-8.424909","-8.424909","-8.424909","1709","1709","1709","","","","","",""
"370786","","","","","","","494.85532","494.85532","494.85532","1288","1288","1288"
"371362","-25.925926","-25.925926","-25.925926","1710","1710","1710","","","","","",""
"371787","","","","","","","447.79413","447.79413","447.79413","1289","1289","1289"
"372363","-61.41479","-61.41479","-61.41479","1711","1711","1711","","","","","",""
"372788","","","","","","","228.85905","228.85905","228.85905","1300","1300","1300"
"373364","50.735294","50.735294","50.735294","1727","1727","1727","","","","","",""
"373789","","","","","","","401.5773","401.5773","401.5773","1301","1301","1301"
"374080","-94.21879","-94.21879","-94.21879","1728","1728","1728","","","","","",""
"374790","","","","","","","274.57043","274.57043","274.57043","1302","1302","1302"
"375081","-62.14511","-62.14511","-62.14511","1729","1729","1729","","","","","",""
"375791","","","","","","","322.68042","322.68042","322.68042","1303","1303","1303"
"376082","16.838488","16.838488","16.838488","1730","1730","1730","","","","","",""
"376792","","","","","","","528.5714","528.5714","528.5714","1304","1304","1304"
"377083","34.02062","34.02062","34.02062","1746","1746","1746","","","","","",""
"377793","","","","","","","567.88324","567.88324","567.88324","1315","1315","1315"
"378084","42.857143","42.857143","42.857143","1747","1747","1747","","","","","",""
"378794","","","","","","","362.406","362.406","362.406","1316","1316","1316"
"379085","-19.708029","-19.708029","-19.708029","1748","1748","1748","","","","","",""
"379795","","","","","","","767.7043","767.7043","767.7043","1317","1317","1317"
"380086","65.413536","65.413536","65.413536","1749","1749","1749","","","","","",""
"380796","","","","","","","677.38513","677.38513","677.38513","1318","1318","1318"
"380892","-106.47004","-106.47004","-106.47004","1750","1750","1750","","","","","",""
"381797","","","","","","","346.25406","346.25406","346.25406","1329","1329","1329"
"381893","23.674911","23.674911","23.674911","1766","1766","1766","","","","","",""
"382188","-80.44006","-80.44006","-80.44006","1767","1767","1767","","","","","",""
"382409","-72.210556","-72.210556","-72.210556","1768","1768","1768","","","","","",""
"382798","","","","","","","222.98137","222.98137","222.98137","1330","1330","1330"
"383410","21.580547","21.580547","21.580547","1769","1769","1769","","","","","",""
"383799","","","","","","","282.97873","282.97873","282.97873","1331","1331","1331"
