global_step,surprise,baseline,gradient_stats
99829,,,
100007,,,
100099,,,89.96416
100802,11.864407,,
100809,,8.474576,
100830,,,
101008,,,
101100,,,53.846153
101803,-44.07895,,
101810,,-27.631578,
101831,,,
102009,,,
102101,,,-28.082191
102804,-40.0,,
102811,,-26.666666,
102832,,,
103010,,,
103102,,,-7.063197
103576,-95.14947,,
103812,,31.672598,
103833,,,
104011,,,
104103,,,41.935482
104577,-68.42105,,
104725,,-127.94211,
104834,,,
105012,,,
105104,,,-8.474576
105578,-25.081432,,
105672,,-145.64006,
105835,,,
105946,,,-137.94737
106013,,,
106579,-41.37931,,
106673,,-44.827587,
106836,,,
106947,,,-33.333332
107014,,,
107580,-54.225353,,
107674,,111.26761,
107837,,,
107948,,,95.72954
108015,,,
108581,-40.59406,,
108675,,91.41914,
108838,,,
108949,,,-43.85965
109016,,,
109582,1.3513514,,
109676,,-15.540541,
109839,,,
109950,,,-34.85342
110017,,,
110583,-56.52174,,
110677,,7.0234113,
110840,,,
110951,,,37.931034
111018,,,
111584,5.4545455,,
111678,,103.63636,
111841,,,
111952,,,5.633803
112019,,,
112585,-62.546818,,
112679,,27.340824,
112842,,,
112953,,,48.51485
113020,,,
113586,-56.363636,,
113680,,45.454544,
113780,,,-138.58109
113843,,,
114021,,,
114313,-151.81035,,
114681,,17.241379,
114781,,,110.70234
114844,,,
115022,,,
115314,-70.588234,,
115682,,14.379085,
115782,,,-5.4545455
115845,,,
116023,,,
116315,-78.723404,,
116644,,,
116683,,-14.893617,
116783,,,49.812733
116846,,,
117024,,,
117316,-31.29771,,
117645,,,
117684,,41.221375,
117784,,,38.18182
117847,,,
118025,,,
118317,-68.35443,,
118646,,,
118685,,-8.227848,
118785,,,-10.344828
118848,,,
119026,,,
119318,-78.64769,,
119647,,,
119686,,120.64057,
119786,,,79.73856
119849,,,
120027,,,
120319,-55.414013,,
120648,,,
120687,,-42.67516,
120787,,,183.68794
120850,,,
121028,,,
121320,-63.265305,,
121649,,,
121688,,112.244896,
121788,,,10.687023
121851,,,
122029,,,
122321,62.7907,,
122599,,-132.76047,
122650,,,
122789,,,-24.050632
122852,,,
123030,,,
123322,-62.02532,,
123465,,,
123600,,-27.215189,
123790,,,6.7615657
123853,,,
124031,,,
124323,-58.199356,,
124466,,,
124601,,15.755627,
124791,,,65.605095
124854,,,
125032,,,
125324,30.584192,,
125467,,,
125602,,9.965635,
125792,,,30.612246
125855,,,
126033,,,
126325,-51.672863,,
126468,,,
126603,,123.048325,
126793,,,159.68993
126856,,,
127034,,,
127326,-23.58804,,
127604,,102.65781,
127794,,,-55.6962
127857,,,
127984,,,
128035,,,
128327,-62.711864,,
128515,,,-117.23762
128605,,55.932205,
128858,,,
128985,,,
129036,,,
129328,12.244898,,
129516,,,-17.525774
129606,,2.0408163,
129859,,,
129986,,,
130037,,,
130329,-56.656345,,
130517,,,0.37174723
130607,,314.8607,
130860,,,
130987,,,
131038,,,
131103,,,-135.14418
131330,-63.333332,,
131608,,-23.333334,
131861,,,
131988,,,
132039,,,
132104,,,-18.644068
132331,-29.824562,,
132609,,19.298246,
132862,,,
132989,,,
133040,,,
133105,,,-42.176872
133332,-27.586206,,
133610,,120.68965,
133863,,,
133990,,,
134041,,,
134106,,,73.37461
134333,-12.052117,,
134436,,,
134611,,105.21172,
134864,,,
135042,,,
135107,,,66.666664
135334,-31.37255,,
135437,,,
135612,,-57.51634,
135865,,,
136043,,,
136093,,,
136108,,,145.61403
136335,37.037037,,
136613,,111.111115,
136866,,,
137044,,,
137094,,,
137109,,,-10.344828
137336,-0.66225165,,
137604,,,-77.63876
137614,,2.6490066,
137867,,,
138045,,,
138095,,,
138234,-147.49474,,
138605,,,-11.764706
138615,,215.78947,
138868,,,
139046,,,
139096,,,
139235,40.84507,,
139266,,,-128.86296
139424,,-127.883095,
139869,,,
140047,,,
140097,,,
140236,-6.8100357,,
140267,,,29.139072
140425,,68.45878,
140870,,,
141048,,,
141098,,,
141237,15.987461,,
