global_step,surprise,baseline,gradient_stats
315954,,,22.222221
316027,,,
316093,,,
316314,-67.84566,,
316344,,422.22223,
316846,,,
316955,,,17.647058
317028,,,
317094,,,
317315,129.62962,,
317345,,767.64703,
317496,,,
317956,,,103.50877
318029,,,
318095,,,
318316,-52.205883,,
318346,,784.2105,
318497,,,
318957,,,218.03279
319030,,,
319096,,,
319317,-5.263158,,
319347,,181.96721,
319498,,,
319943,,,
319958,,,-52.531647
320031,,,
320097,,,
320318,1.6393442,,
320348,,298.7342,
320944,,,
320959,,,110.52631
321032,,,
321098,,,
321319,-39.873417,,
321349,,801.3158,
321945,,,
321960,,,52.10356
322033,,,
322099,,,
322320,21.710526,,
322350,,722.0065,
322946,,,
322961,,,12.903226
323034,,,
323100,,,
323321,10.032362,,
323351,,880.64514,
323947,,,
323962,,,4.693141
324035,,,
324101,,,
324322,-35.48387,,
324352,,340.43323,
324948,,,
324963,,,-19.860628
325036,,,
325102,,,
325323,-16.967508,,
325353,,335.54007,
325706,,,
325964,,,22.977346
326037,,,
326103,,,
326324,-44.25087,,
326354,,210.67961,
326707,,,
326965,,,110.71429
327038,,,
327104,,,
327325,19.7411,,
327355,,817.8571,
327708,,,
327966,,,-51.95195
328039,,,
328105,,,
328326,-21.428572,,
328356,,212.31232,
328709,,,
328967,,,166.1597
329040,,,
329062,,,
329106,,,
329327,-27.927927,,
329357,,576.8061,
329968,,,-1.2738854
330041,,,
330063,,,
330107,,,
330328,40.68441,,
330358,,855.414,
330858,,,
330969,,,39.534885
331042,,,
331108,,,
331329,30.573248,,
331359,,265.44852,
331859,,,
331970,,,100.72993
332043,,,
332105,,,
332109,,,
332330,-0.33222592,,
332360,,637.22626,
332971,,,-5.923345
333044,,,
333106,,,
333110,,,
333331,20.437956,,
333361,,311.1498,
333972,,,17.857143
333980,,,
334045,,,
334107,,,
334332,-19.860628,,
334362,,467.85715,
334973,,,-34.640522
334981,,,
335046,,,
335108,,,
335333,-28.571428,,
335363,,501.3072,
335974,,,133.8983
335982,,,
336047,,,
336109,,,
336247,,,-61.88261
336334,-11.764706,,
336364,,622.0339,
336983,,,
337048,,,
337110,,,
337248,,,115.54771
337335,-72.881355,,
337365,,461.5942,
337984,,,
337986,,,
338049,,,
338249,,,31.313131
338336,-34.782608,,
338366,,564.311,
338985,,,
338987,,,
339050,,,
339250,,,-7.5907593
339337,-15.194346,,
339367,,428.61954,
339986,,,
339988,,,
340051,,,
340251,,,55.405407
340338,-36.026936,,
340357,,,
340368,,173.9274,
340987,,,
341052,,,
341252,,,15.646258
341339,-33.9934,,
341358,,,
341369,,379.72974,
341988,,,
342053,,,
342253,,,21.621622
342340,65.54054,,
342359,,,
342370,,301.36053,
342989,,,
343054,,,
343254,,,-14.893617
343341,-38.77551,,
343360,,,
343371,,795.27026,
343990,,,
344055,,,
344255,,,43.790848
344342,-35.81081,,
344361,,,
344372,,676.59576,
344814,,,
344991,,,
345056,,,
345256,,,23.893805
345343,-46.80851,,
345373,,331.37256,
345801,,,
345810,,,
345992,,,
346257,,,193.7063
346344,53.594772,,
346374,,286.43066,
346664,,,
346802,,,
346993,,,
347258,,,65.16517
347345,-32.153393,,
347375,,368.53146,
347477,,,-61.62933
347665,,,
347803,,,
347994,,,
348346,-54.545456,,
348376,,110.21021,
348478,,,31.386862
348666,,,
348804,,,
348995,,,
349347,-18.918919,,
349377,,327.56183,
349479,,,90.08264
349667,,,
349805,,,
349996,,,
350348,-15.194346,,
350378,,487.59125,
350480,,,-36.24161
350668,,,
350806,,,
350997,,,
351349,35.036495,,
351379,,829.7521,
351481,,,35.231316
351669,,,
351807,,,
351998,,,
352350,168.59505,,
352380,,738.92615,
352482,,,310.7143
352670,,,
352704,,,-71.27536
352808,,,
352980,,-21.009964,
352999,,,
353351,-39.597317,,
353671,,,
353705,,,183.08824
353809,,,
353981,,350.0,
354000,,,
354352,-18.149466,,
354577,,,
354706,,,88.11881
354770,,248.83623,
354810,,,
355001,,,
355353,-17.857143,,
355578,,,
355707,,,138.25504
355771,,510.29413,
355811,,,
356002,,,
356125,,,
356354,8.695652,,
356708,,,253.95189
356772,,332.34323,
356812,,,
357003,,,
357126,,,
357355,-48.52941,,
357671,,,-91.82192
357773,,467.1141,
357813,,,
358004,,,
358127,,,
358356,-40.59406,,
358446,,,
358611,,,
358672,,,368.53146
358774,,625.08594,
359005,,,
359357,-26.174496,,
359447,,,
359612,,,
359673,,,202.91971
359775,,389.3048,
360006,,,
360351,-144.21718,,
360448,,,
360613,,,
360674,,,62.711864
360776,,830.06995,
361007,,,
361352,-33.15508,,
361449,,,
361614,,,
361675,,,28.834356
361777,,268.61313,
361982,,,
362008,,,
362353,4.895105,,
362488,,,
362615,,,
362676,,,57.728706
362778,,561.01697,
363009,,,
363354,-45.255474,,
363489,,,
363616,,,
363677,,,28.571428
363779,,430.67484,
364010,,,
364355,-62.711864,,
364490,,,
364617,,,
364678,,,313.53384
364780,,622.39746,
365011,,,
365356,16.564417,,
365376,,,
365618,,,
365679,,,276.81158
365781,,278.57144,
366012,,,
366248,,,
366357,-24.29022,,
366377,,,
366680,,,229.67033
366782,,614.2857,
366885,,,
367013,,,
367249,,,
367358,10.714286,,
367681,,,283.83838
367783,,755.07245,
367886,,,
368014,,,
368250,,,
368359,1.5037594,,
368682,,,131.51126
368784,,409.1575,
368887,,,
369015,,,
369251,,,
369360,-31.15942,,
369683,,,197.79411
369785,,307.4074,
369888,,,
370016,,,
370252,,,
370361,-8.424909,,
370684,,,175.16779
370786,,494.85532,
370864,,,
371017,,,
371253,,,
371362,-25.925926,,
371374,,,-36.307888
371787,,447.79413,
371865,,,
372018,,,
372254,,,
372363,-61.41479,,
372375,,,271.13403
372680,,,
372788,,228.85905,
373019,,,
373255,,,
373364,50.735294,,
373376,,,47.766323
373645,,,
373789,,401.5773,
374020,,,
374080,-94.21879,,
374256,,,
374377,,,303.1746
374646,,,
374790,,274.57043,
374957,,,
375021,,,
375081,-62.14511,,
375257,,,
375378,,,246.71533
375706,,,
375791,,322.68042,
376022,,,
376082,16.838488,,
376258,,,
376344,,,
376379,,,91.729324
376792,,528.5714,
377023,,,
377083,34.02062,,
377259,,,
377345,,,
377380,,,102.33463
377793,,567.88324,
378024,,,
378084,42.857143,,
378260,,,
378346,,,
378381,,,-36.39576
378794,,362.406,
379025,,,
379085,-19.708029,,
379261,,,
379266,,,
379382,,,225.7329
379795,,767.7043,
380026,,,
380086,65.413536,,
380262,,,
380267,,,
380383,,,347.20496
380796,,677.38513,
380892,-106.47004,,
381027,,,
381263,,,
381268,,,
381384,,,298.1763
381797,,346.25406,
381893,23.674911,,
382028,,,
382188,-80.44006,,
382264,,,
382269,,,
382385,,,144.5141
382409,-72.210556,,
382798,,222.98137,
382946,,,
383029,,,
383265,,,
383386,,,488.46155
383410,21.580547,,
383799,,282.97873,
383947,,,
384030,,,
384266,,,
384387,,,207.6923
384411,-40.438873,,
384800,,216.61443,
384948,,,
385031,,,
385122,-20.9,,
385267,,,
385388,,,21.875
385559,,,
385801,,450.0,
386032,,,
386123,71.328674,,
386268,,,
386389,,,249.15254
386560,,,
386802,,529.3706,
387033,,,
387124,90.625,,
387269,,,
387390,,,339.49045
387561,,,
387803,,221.875,
388034,,,
388125,-28.813559,,
388270,,,
388391,,,227.21713
388562,,,
388804,,283.05084,
389035,,,
389126,-33.121017,,
389271,,,
389392,,,149.22119
389563,,,
389805,,514.64966,
390036,,,
390127,13.149847,,
390272,,,
390393,,,407.5188
390564,,,
390806,,193.57799,
391037,,,
391128,37.07165,,
391273,,,
391394,,,423.96167
391565,,,
391651,,,-52.83564
391807,,202.18068,
392038,,,
392129,-39.849625,,
392274,,,
392367,,,
392652,,,84.66899
392707,-93.70224,,
392808,,407.5188,
393039,,,
393116,,,
393275,,,
393463,,,-49.694324
393708,3.8062284,,
393778,,,
393809,,653.9936,
394040,,,
394276,,,
394415,-86.876305,,
394464,,,268.0782
394779,,,
394810,,384.42908,
394933,,,-78.354675
395041,,,
395277,,,
395416,73.758865,,
395780,,,
395811,,802.439,
395934,,,29.15129
396042,,,
396278,,,
396417,17.263844,,
396781,,,
396812,,329.078,
396935,,,400.0
397043,,,
397279,,,
397418,79.85612,,
397782,,,
397813,,479.80457,
397936,,,44.927536
398044,,,
398419,213.65314,,
398783,,,
398814,,299.28058,
398937,,,531.22925
399045,,,
399251,-125.675156,,
399784,,,
399815,,464.57565,
399938,,,224.75883
400046,,,
400252,124.63768,,
400785,,,
400816,,489.17197,
400939,,,14.864865
401047,,,
401253,66.11295,,
401817,,653.62317,
401940,,,184.40367
402048,,,
402254,144.37299,,
402818,,770.4319,
402941,,,264.21725
402996,-103.054054,,
403049,,,
403819,,308.36014,
403942,,,144.73685
403997,187.46178,,
404050,,,
404820,,764.86487,
404943,,,308.39694
404998,152.39616,,
405051,,,
405821,,588.07336,
405944,,,116.94915
405999,171.05263,,
406052,,,
406822,,564.53674,
406945,,,43.426296
407000,117.55725,,
407053,,,
407823,,300.0,
407946,,,162.97578
408001,154.23729,,
408054,,,
408824,,510.687,
408919,-48.173706,,
408947,,,31.782946
409055,,,
409825,,764.4068,
409920,159.51556,,
409948,,,168.8172
410056,,,
410826,,374.10358,
410921,31.782946,,
410949,,,133.0827
411057,,,
411827,,287.54324,
411922,222.58064,,
411950,,,-33.333332
412058,,,
412828,,853.48834,
412923,57.894737,,
412951,,,144.3609
413059,,,
413576,,,-96.78276
413829,,713.62006,
413895,-130.33333,,
414060,,,
414577,,,328.05756
414830,,377.4436,
414896,57.894737,,
415061,,,
415578,,,149.14676
415831,,510.0,
415897,310.34482,,
416062,,,
416579,,,280.43478
416832,,636.8421,
416898,169.78418,,
417063,,,
417580,,,217.33333
417833,,365.51724,
417899,-48.80546,,
418064,,,
418581,,,216.54677
418834,,590.64746,
418900,153.62318,,
419065,,,
419582,,,408.59106
419835,,753.2423,
419901,49.333332,,
420066,,,
420583,,,103.00752
420836,,592.029,
420902,-38.848923,,
421067,,,
421584,,,-22.535212
421837,,508.0,
421903,198.96907,,
422068,,,
422585,,,-29.530201
422838,,281.29495,
422904,57.894737,,
423069,,,
423586,,,254.83871
423839,,700.68726,
423905,-29.577465,,
424070,,,
424538,-99.34161,,
424587,,,137.35408
424840,,294.73685,
425071,,,
425539,72.043015,,
425588,,,396.09375
425841,,329.57745,
426540,86.77043,,
426589,,,185.71428
426842,,738.92615,
427541,64.0625,,
427590,,,164.36781
427843,,523.6559,
428536,-117.15714,,
428591,,,88.4058
428844,,822.179,
429537,26.43678,,
429592,,,127.75801
429845,,595.3125,
430538,182.60869,,
430593,,,-27.392738
430846,,889.2857,
431539,20.99644,,
431594,,,181.85329
431847,,631.8008,
432540,68.31683,,
432595,,,43.712574
432848,,860.1449,
433541,35.135136,,
433596,,,-34.707905
433849,,444.48398,
434542,52.69461,,
434597,,,23.41772
434850,,751.48517,
435543,34.02062,,
435598,,,172.37354
435851,,691.5058,
436544,45.569622,,
436599,,,-18.149466
436852,,447.9042,
437545,82.87938,,
437600,,,32.404182
437853,,401.7182,
438546,6.7615657,,
438601,,,189.90228
438854,,292.40506,
439547,63.763065,,
439602,,,35.48387
439855,,779.37744,
440548,30.29316,,
440603,,,-28.082191
440856,,213.16727,
441549,-6.451613,,
441604,,,272.18045
441857,,579.4425,
442550,47.260273,,
442605,,,102.0202
442858,,430.9446,
443551,144.3609,,
443606,,,27.946129
443859,,519.35486,
444552,112.121216,,
444607,,,310.82803
444860,,215.0685,
445553,115.48821,,
445608,,,320.06268
445861,,433.8346,
446554,43.312103,,
446609,,,355.83038
446862,,553.19867,
446956,-55.3605,,
447610,,,133.0827
447863,,51.515152,
447957,41.342754,,
448611,,,302.82684
448864,,556.05096,
448893,,,-49.985817
448958,76.69173,,
449865,,282.44513,
449894,,,107.66773
449959,-54.063602,,
450866,,415.90106,
450895,,,117.55725
450960,286.5248,,
451867,,557.8947,
451896,,,83.27974
451961,11.821086,,
452868,,242.75618,
452897,,,95.48872
452922,-73.762596,,
453228,,,-27.266197
453522,-69.767845,,
453869,,846.80853,
454229,,,129.5082
454523,-13.533834,,
454870,,299.36102,
455230,,,206.27306
455524,97.1831,,
455871,,319.84732,
456231,,,136.30138
456525,40.98361,,
456773,,-148.19936,
457232,,,378.57144
457526,25.461254,,
457774,,753.3835,
458233,,,110.682495
458527,-38.356163,,
458775,,269.71832,
459234,,,259.4771
459528,28.571428,,
459776,,172.13115,
460235,,,240.57971
460401,-124.78546,,
460777,,390.7749,
461236,,,206.8592
461402,43.790848,,
461778,,615.7534,
462237,,,113.05842
462403,-38.405796,,
462779,,639.2857,
463238,,,184.72223
463254,-130.74838,,
463780,,532.0475,
464239,,,255.21236
464255,-0.34364262,,
464781,,279.08496,
465240,,,-9.090909
465256,52.77778,,
465782,,831.1594,
466241,,,87.30159
466257,73.74517,,
466783,,835.01807,
467242,,,-15.9159155
467258,78.45118,,
467595,,,-67.19877
467649,,136.62405,
468259,-30.15873,,
468596,,,-10.216719
468650,,587.5,
469260,-51.95195,,
469597,,,309.9617
469651,,316.9884,
469975,,,-5.3966103
470261,125.30864,,
470652,,536.36365,
470976,,,344.04333
471262,129.10217,,
471653,,493.6508,
471977,,,521.4286
472263,-34.865902,,
472654,,584.6847,
472978,,,313.55933
473264,8.474576,,
473655,,372.22223,
473979,,,194.11765
474265,-16.967508,,
474656,,352.0124,
474980,,,336.61972
475266,153.57143,,
475588,,331.9042,
475981,,,203.75427
476267,-28.813559,,
476589,,744.0678,
476982,,,462.5
477268,-15.441176,,
477590,,394.58484,
477983,,,97.231834
478269,2.1126761,,
478591,,521.4286,
478984,,,187.16216
479270,36.518772,,
479592,,313.55933,
479912,,,103.13171
480271,-0.7352941,,
480593,,455.14706,
480913,,,200.0
481272,-61.937717,,
481594,,685.21124,
481914,,,312.18637
482273,-35.81081,,
482595,,196.92833,
482915,,,488.67926
483274,-51.219513,,
483596,,521.32355,
483916,,,358.6466
484275,-29.032259,,
484597,,457.0934,
484917,,,323.2082
485276,86.37993,,
485598,,234.45946,
485918,,,257.6389
486277,-32.07547,,
486599,,345.12195,
486919,,,190.9699
487278,-39.849625,,
487600,,58.064518,
487920,,,401.7182
488279,-38.56655,,
488601,,667.0251,
488921,,,103.20856
489280,-16.666666,,
489602,,333.96225,
489922,,,135.50725
490281,-56.52174,,
490603,,527.8195,
490923,,,127.27273
491282,30.584192,,
491604,,732.7645,
491924,,,39.68254
492283,-30.481283,,
492605,,674.30554,
492925,,,18.705036
493284,-63.768116,,
493606,,846.4883,
493926,,,392.4812
494285,-73.48485,,
494607,,889.69073,
494927,,,177.55103
495286,52.38095,,
495608,,707.48663,
495928,,,134.7561
496268,,,-67.35482
496287,-38.848923,,
496609,,302.17392,
497269,,,474.39447
497288,57.894737,,
497610,,324.24243,
498270,,,188.80867
498289,100.0,,
498611,,455.55554,
499271,,,587.05035
