"global_step","1765346631-grad-compression=accumulate-grads - charts/episodic_return","1765346631-grad-compression=accumulate-grads - charts/episodic_return__MIN","1765346631-grad-compression=accumulate-grads - charts/episodic_return__MAX","1765346631-grad-compression=accumulate-grads - _step","1765346631-grad-compression=accumulate-grads - _step__MIN","1765346631-grad-compression=accumulate-grads - _step__MAX","1765346490-grad-compression=accumulate-grads - charts/episodic_return","1765346490-grad-compression=accumulate-grads - charts/episodic_return__MIN","1765346490-grad-compression=accumulate-grads - charts/episodic_return__MAX","1765346490-grad-compression=accumulate-grads - _step","1765346490-grad-compression=accumulate-grads - _step__MIN","1765346490-grad-compression=accumulate-grads - _step__MAX","1765346213-grad-compression=None - charts/episodic_return","1765346213-grad-compression=None - charts/episodic_return__MIN","1765346213-grad-compression=None - charts/episodic_return__MAX","1765346213-grad-compression=None - _step","1765346213-grad-compression=None - _step__MIN","1765346213-grad-compression=None - _step__MAX","1763876097-gradient-stats - charts/episodic_return","1763876097-gradient-stats - charts/episodic_return__MIN","1763876097-gradient-stats - charts/episodic_return__MAX","1763876097-gradient-stats - _step","1763876097-gradient-stats - _step__MIN","1763876097-gradient-stats - _step__MAX"
"17925","-39.0681","-39.0681","-39.0681","56","56","56","-39.0681","-39.0681","-39.0681","56","56","56","-39.0681","-39.0681","-39.0681","56","56","56","","","","","",""
"18017","","","","","","","","","","","","","","","","","","","-69.28328","-69.28328","-69.28328","49","49","49"
"18926","-59.375","-59.375","-59.375","57","57","57","-59.375","-59.375","-59.375","57","57","57","-59.375","-59.375","-59.375","57","57","57","","","","","",""
"19018","","","","","","","","","","","","","","","","","","","-68.085106","-68.085106","-68.085106","50","50","50"
"19927","-35.064934","-35.064934","-35.064934","58","58","58","-35.064934","-35.064934","-35.064934","58","58","58","-35.064934","-35.064934","-35.064934","58","58","58","","","","","",""
"20019","","","","","","","","","","","","","","","","","","","-62.962963","-62.962963","-62.962963","51","51","51"
"20928","-54.372623","-54.372623","-54.372623","66","66","66","-54.372623","-54.372623","-54.372623","66","66","66","-54.372623","-54.372623","-54.372623","66","66","66","","","","","",""
"21020","","","","","","","","","","","","","","","","","","","-72.144844","-72.144844","-72.144844","60","60","60"
"21929","-36.45485","-36.45485","-36.45485","67","67","67","-36.45485","-36.45485","-36.45485","67","67","67","-36.45485","-36.45485","-36.45485","67","67","67","","","","","",""
"22021","","","","","","","","","","","","","","","","","","","-74.91039","-74.91039","-74.91039","61","61","61"
"22930","-72.22222","-72.22222","-72.22222","68","68","68","-72.22222","-72.22222","-72.22222","68","68","68","-72.22222","-72.22222","-72.22222","68","68","68","","","","","",""
"23022","","","","","","","","","","","","","","","","","","","-68.75","-68.75","-68.75","62","62","62"
"23931","-51.140064","-51.140064","-51.140064","69","69","69","-51.140064","-51.140064","-51.140064","69","69","69","-51.140064","-51.140064","-51.140064","69","69","69","","","","","",""
"24023","","","","","","","","","","","","","","","","","","","-70.77922","-70.77922","-70.77922","63","63","63"
"24932","-41.55844","-41.55844","-41.55844","77","77","77","-41.55844","-41.55844","-41.55844","77","77","77","-41.55844","-41.55844","-41.55844","77","77","77","","","","","",""
"25024","","","","","","","","","","","","","","","","","","","-65.779465","-65.779465","-65.779465","72","72","72"
"25933","-75.69444","-75.69444","-75.69444","78","78","78","-75.69444","-75.69444","-75.69444","78","78","78","-75.69444","-75.69444","-75.69444","78","78","78","","","","","",""
"26025","","","","","","","","","","","","","","","","","","","-63.2107","-63.2107","-63.2107","73","73","73"
"26934","-57.295372","-57.295372","-57.295372","79","79","79","-57.295372","-57.295372","-57.295372","79","79","79","-57.295372","-57.295372","-57.295372","79","79","79","","","","","",""
"27026","","","","","","","","","","","","","","","","","","","-72.22222","-72.22222","-72.22222","74","74","74"
"27935","-43.62018","-43.62018","-43.62018","80","80","80","-43.62018","-43.62018","-43.62018","80","80","80","-43.62018","-43.62018","-43.62018","80","80","80","","","","","",""
"28027","","","","","","","","","","","","","","","","","","","-70.68404","-70.68404","-70.68404","75","75","75"
"28936","-73.29377","-73.29377","-73.29377","88","88","88","-73.29377","-73.29377","-73.29377","88","88","88","-73.29377","-73.29377","-73.29377","88","88","88","","","","","",""
"29028","","","","","","","","","","","","","","","","","","","-67.53247","-67.53247","-67.53247","84","84","84"
"29937","-47.85276","-47.85276","-47.85276","89","89","89","-47.85276","-47.85276","-47.85276","89","89","89","-47.85276","-47.85276","-47.85276","89","89","89","","","","","",""
"30029","","","","","","","","","","","","","","","","","","","-68.75","-68.75","-68.75","85","85","85"
"30938","-34.545456","-34.545456","-34.545456","90","90","90","-34.545456","-34.545456","-34.545456","90","90","90","-34.545456","-34.545456","-34.545456","90","90","90","","","","","",""
"31030","","","","","","","","","","","","","","","","","","","-71.53025","-71.53025","-71.53025","86","86","86"
"31939","-3.5369775","-3.5369775","-3.5369775","91","91","91","-3.5369775","-3.5369775","-3.5369775","91","91","91","-3.5369775","-3.5369775","-3.5369775","91","91","91","","","","","",""
"32031","","","","","","","","","","","","","","","","","","","-76.26113","-76.26113","-76.26113","87","87","87"
"32940","-56.81063","-56.81063","-56.81063","99","99","99","-56.81063","-56.81063","-56.81063","99","99","99","-56.81063","-56.81063","-56.81063","99","99","99","","","","","",""
"33032","","","","","","","","","","","","","","","","","","","-73.29377","-73.29377","-73.29377","96","96","96"
"33941","-46.478874","-46.478874","-46.478874","100","100","100","-54.929577","-54.929577","-54.929577","100","100","100","-54.929577","-54.929577","-54.929577","100","100","100","","","","","",""
"34033","","","","","","","","","","","","","","","","","","","-69.32516","-69.32516","-69.32516","97","97","97"
"34942","-8.474576","-8.474576","-8.474576","101","101","101","-11.864407","-11.864407","-11.864407","101","101","101","-11.864407","-11.864407","-11.864407","101","101","101","","","","","",""
"35034","","","","","","","","","","","","","","","","","","","-67.27273","-67.27273","-67.27273","98","98","98"
"35943","-53.987732","-53.987732","-53.987732","102","102","102","-35.58282","-35.58282","-35.58282","102","102","102","-32.51534","-32.51534","-32.51534","102","102","102","","","","","",""
"36035","","","","","","","","","","","","","","","","","","","-67.84566","-67.84566","-67.84566","99","99","99"
"36944","-37.06294","-37.06294","-37.06294","110","110","110","-40.55944","-40.55944","-40.55944","110","110","110","-40.55944","-40.55944","-40.55944","110","110","110","","","","","",""
