"global_step","1765346631-grad-compression=accumulate-grads - charts/episodic_return","1765346631-grad-compression=accumulate-grads - charts/episodic_return__MIN","1765346631-grad-compression=accumulate-grads - charts/episodic_return__MAX","1765346631-grad-compression=accumulate-grads - _step","1765346631-grad-compression=accumulate-grads - _step__MIN","1765346631-grad-compression=accumulate-grads - _step__MAX","1765346490-grad-compression=accumulate-grads - charts/episodic_return","1765346490-grad-compression=accumulate-grads - charts/episodic_return__MIN","1765346490-grad-compression=accumulate-grads - charts/episodic_return__MAX","1765346490-grad-compression=accumulate-grads - _step","1765346490-grad-compression=accumulate-grads - _step__MIN","1765346490-grad-compression=accumulate-grads - _step__MAX","1765346213-grad-compression=None - charts/episodic_return","1765346213-grad-compression=None - charts/episodic_return__MIN","1765346213-grad-compression=None - charts/episodic_return__MAX","1765346213-grad-compression=None - _step","1765346213-grad-compression=None - _step__MIN","1765346213-grad-compression=None - _step__MAX","1763876097-gradient-stats - charts/episodic_return","1763876097-gradient-stats - charts/episodic_return__MIN","1763876097-gradient-stats - charts/episodic_return__MAX","1763876097-gradient-stats - _step","1763876097-gradient-stats - _step__MIN","1763876097-gradient-stats - _step__MAX"
"136043","-31.37255","-31.37255","-31.37255","377","377","377","","","","","","","","","","","","","","","","","",""
"136093","","","","","","","","","","","","","6.7854304","6.7854304","6.7854304","379","379","379","","","","","",""
"136108","","","","","","","","","","","","","","","","","","","145.61403","145.61403","145.61403","400","400","400"
"136866","","","","","","","159.25926","159.25926","159.25926","378","378","378","","","","","","","","","","","",""
"137044","-48.148148","-48.148148","-48.148148","378","378","378","","","","","","","","","","","","","","","","","",""
"137094","","","","","","","","","","","","","566.6667","566.6667","566.6667","380","380","380","","","","","",""
"137109","","","","","","","","","","","","","","","","","","","-10.344828","-10.344828","-10.344828","401","401","401"
"137604","","","","","","","","","","","","","","","","","","","-77.63876","-77.63876","-77.63876","402","402","402"
"137867","","","","","","","-66.88742","-66.88742","-66.88742","379","379","379","","","","","","","","","","","",""
"138045","-76.82119","-76.82119","-76.82119","379","379","379","","","","","","","","","","","","","","","","","",""
"138095","","","","","","","","","","","","","484.50705","484.50705","484.50705","381","381","381","","","","","",""
"138605","","","","","","","","","","","","","","","","","","","-11.764706","-11.764706","-11.764706","403","403","403"
"138868","","","","","","","1.754386","1.754386","1.754386","380","380","380","","","","","","","","","","","",""
"139046","-43.85965","-43.85965","-43.85965","380","380","380","","","","","","","","","","","","","","","","","",""
"139096","","","","","","","","","","","","","222.58064","222.58064","222.58064","382","382","382","","","","","",""
"139266","","","","","","","","","","","","","","","","","","","-128.86296","-128.86296","-128.86296","412","412","412"
"139869","","","","","","","40.84507","40.84507","40.84507","388","388","388","","","","","","","","","","","",""
"140047","-50.704224","-50.704224","-50.704224","388","388","388","","","","","","","","","","","","","","","","","",""
"140097","","","","","","","","","","","","","226.01881","226.01881","226.01881","390","390","390","","","","","",""
"140267","","","","","","","","","","","","","","","","","","","29.139072","29.139072","29.139072","413","413","413"
"140870","","","","","","","140.14337","140.14337","140.14337","389","389","389","","","","","","","","","","","",""
"141048","-71.326164","-71.326164","-71.326164","389","389","389","","","","","","","","","","","","","","","","","",""
"141098","","","","","","","","","","","","","625.80646","625.80646","625.80646","391","391","391","","","","","",""
"141268","","","","","","","","","","","","","","","","","","","29.824562","29.824562","29.824562","414","414","414"
"141871","","","","","","","-21.630095","-21.630095","-21.630095","390","390","390","","","","","","","","","","","",""
"142049","-78.05643","-78.05643","-78.05643","390","390","390","","","","","","","","","","","","","","","","","",""
"142099","","","","","","","","","","","","","533.45197","533.45197","533.45197","392","392","392","","","","","",""
"142269","","","","","","","","","","","","","","","","","","","-29.577465","-29.577465","-29.577465","415","415","415"
"142872","","","","","","","119.354836","119.354836","119.354836","391","391","391","","","","","","","","","","","",""
"143050","-77.41936","-77.41936","-77.41936","391","391","391","","","","","","","","","","","","","","","","","",""
"143100","","","","","","","","","","","","","346.73538","346.73538","346.73538","393","393","393","","","","","",""
"143270","","","","","","","","","","","","","","","","","","","72.043015","72.043015","72.043015","416","416","416"
"143873","","","","","","","3.202847","3.202847","3.202847","399","399","399","","","","","","","","","","","",""
"144051","-67.97153","-67.97153","-67.97153","399","399","399","","","","","","","","","","","","","","","","","",""
"144101","","","","","","","","","","","","","549.30554","549.30554","549.30554","401","401","401","","","","","",""
"144271","","","","","","","","","","","","","","","","","","","44.200626","44.200626","44.200626","425","425","425"
"144874","","","","","","","99.31271","99.31271","99.31271","400","400","400","","","","","","","","","","","",""
"145052","-69.07217","-69.07217","-69.07217","400","400","400","","","","","","","","","","","","","","","","","",""
"145102","","","","","","","","","","","","","36.690647","36.690647","36.690647","402","402","402","","","","","",""
"145272","","","","","","","","","","","","","","","","","","","12.903226","12.903226","12.903226","426","426","426"
"145875","","","","","","","45.833332","45.833332","45.833332","401","401","401","","","","","","","","","","","",""
"146053","-75.69444","-75.69444","-75.69444","401","401","401","","","","","","","","","","","","","","","","","",""
"146103","","","","","","","","","","","","","282.35294","282.35294","282.35294","403","403","403","","","","","",""
"146273","","","","","","","","","","","","","","","","","","","145.5516","145.5516","145.5516","427","427","427"
"146876","","","","","","","141.00719","141.00719","141.00719","402","402","402","","","","","","","","","","","",""
"147054","-74.820145","-74.820145","-74.820145","402","402","402","","","","","","","","","","","","","","","","","",""
"147104","","","","","","","","","","","","","662.71185","662.71185","662.71185","404","404","404","","","","","",""
"147274","","","","","","","","","","","","","","","","","","","-0.34364262","-0.34364262","-0.34364262","428","428","428"
"147877","","","","","","","86.27451","86.27451","86.27451","410","410","410","","","","","","","","","","","",""
"147958","","","","","","","","","","","","","","","","","","","-112.64445","-112.64445","-112.64445","437","437","437"
"148055","-67.32026","-67.32026","-67.32026","410","410","410","","","","","","","","","","","","","","","","","",""
"148105","","","","","","","","","","","","","637.20135","637.20135","637.20135","412","412","412","","","","","",""
"148878","","","","","","","242.37288","242.37288","242.37288","411","411","411","","","","","","","","","","","",""
"148959","","","","","","","","","","","","","","","","","","","7.913669","7.913669","7.913669","438","438","438"
"149056","-72.881355","-72.881355","-72.881355","411","411","411","","","","","","","","","","","","","","","","","",""
"149106","","","","","","","","","","","","","536.0294","536.0294","536.0294","413","413","413","","","","","",""
"149879","","","","","","","26.279863","26.279863","26.279863","412","412","412","","","","","","","","","","","",""
"149960","","","","","","","","","","","","","","","","","","","37.2549","37.2549","37.2549","439","439","439"
"150057","-69.28328","-69.28328","-69.28328","412","412","412","","","","","","","","","","","","","","","","","",""
"150107","","","","","","","","","","","","","81.54762","81.54762","81.54762","414","414","414","","","","","",""
"150880","","","","","","","13.970589","13.970589","13.970589","413","413","413","","","","","","","","","","","",""
"150961","","","","","","","","","","","","","","","","","","","18.644068","18.644068","18.644068","440","440","440"
"151058","-77.94118","-77.94118","-77.94118","413","413","413","","","","","","","","","","","","","","","","","",""
"151108","","","","","","","","","","","","","40.522877","40.522877","40.522877","415","415","415","","","","","",""
"151881","","","","","","","-25.595238","-25.595238","-25.595238","421","421","421","","","","","","","","","","","",""
"151962","","","","","","","","","","","","","","","","","","","29.692833","29.692833","29.692833","449","449","449"
"152059","-46.42857","-46.42857","-46.42857","421","421","421","","","","","","","","","","","","","","","","","",""
"152109","","","","","","","","","","","","","411.4754","411.4754","411.4754","423","423","423","","","","","",""
"152882","","","","","","","-54.248367","-54.248367","-54.248367","422","422","422","","","","","","","","","","","",""
"152963","","","","","","","","","","","","","","","","","","","43.382355","43.382355","43.382355","450","450","450"
"153060","-64.052284","-64.052284","-64.052284","422","422","422","","","","","","","","","","","","","","","","","",""
"153110","","","","","","","","","","","","","425.42374","425.42374","425.42374","424","424","424","","","","","",""
"153883","","","","","","","-27.868853","-27.868853","-27.868853","423","423","423","","","","","","","","","","","",""
"153964","","","","","","","","","","","","","","","","","","","27.97619","27.97619","27.97619","451","451","451"
"154061","-80.327866","-80.327866","-80.327866","423","423","423","","","","","","","","","","","","","","","","","",""
"154111","","","","","","","","","","","","","209.27835","209.27835","209.27835","425","425","425","","","","","",""
"154652","","","","","","","-136.02203","-136.02203","-136.02203","424","424","424","","","","","","","","","","","",""
"154965","","","","","","","","","","","","","","","","","","","99.346405","99.346405","99.346405","452","452","452"
"155062","-42.372883","-42.372883","-42.372883","424","424","424","","","","","","","","","","","","","","","","","",""
"155112","","","","","","","","","","","","","471.9298","471.9298","471.9298","426","426","426","","","","","",""
"155653","","","","","","","92.439865","92.439865","92.439865","432","432","432","","","","","","","","","","","",""
"155966","","","","","","","","","","","","","","","","","","","-40.98361","-40.98361","-40.98361","461","461","461"
"156063","-3.7800686","-3.7800686","-3.7800686","432","432","432","","","","","","","","","","","","","","","","","",""
"156113","","","","","","","","","","","","","192.96875","192.96875","192.96875","434","434","434","","","","","",""
"156654","","","","","","","-15.789474","-15.789474","-15.789474","433","433","433","","","","","","","","","","","",""
"156967","","","","","","","","","","","","","","","","","","","188.13559","188.13559","188.13559","462","462","462"
"157064","-57.894737","-57.894737","-57.894737","433","433","433","","","","","","","","","","","","","","","","","",""
"157114","","","","","","","","","","","","","227.81458","227.81458","227.81458","435","435","435","","","","","",""
"157655","","","","","","","-17.96875","-17.96875","-17.96875","434","434","434","","","","","","","","","","","",""
"157968","","","","","","","","","","","","","","","","","","","16.838488","16.838488","16.838488","463","463","463"
"158065","-60.9375","-60.9375","-60.9375","434","434","434","","","","","","","","","","","","","","","","","",""
"158115","","","","","","","","","","","","","522.291","522.291","522.291","436","436","436","","","","","",""
"158656","","","","","","","-30.463575","-30.463575","-30.463575","435","435","435","","","","","","","","","","","",""
"158969","","","","","","","","","","","","","","","","","","","-54.385963","-54.385963","-54.385963","464","464","464"
"159066","-60.2649","-60.2649","-60.2649","435","435","435","","","","","","","","","","","","","","","","","",""
"159116","","","","","","","","","","","","","571.00977","571.00977","571.00977","437","437","437","","","","","",""
"159409","","","","","","","","","","","","","","","","","","","-96.925","-96.925","-96.925","465","465","465"
"159657","","","","","","","64.086685","64.086685","64.086685","436","436","436","","","","","","","","","","","",""
"160067","-65.944275","-65.944275","-65.944275","443","443","443","","","","","","","","","","","","","","","","","",""
"160117","","","","","","","","","","","","","445.45456","445.45456","445.45456","445","445","445","","","","","",""
"160410","","","","","","","","","","","","","","","","","","","65.56291","65.56291","65.56291","474","474","474"
"160658","","","","","","","-2.2801304","-2.2801304","-2.2801304","444","444","444","","","","","","","","","","","",""
"161068","-60.912052","-60.912052","-60.912052","444","444","444","","","","","","","","","","","","","","","","","",""
"161118","","","","","","","","","","","","","299.2248","299.2248","299.2248","446","446","446","","","","","",""
"161411","","","","","","","","","","","","","","","","","","","51.702785","51.702785","51.702785","475","475","475"
"161659","","","","","","","93.93939","93.93939","93.93939","445","445","445","","","","","","","","","","","",""
"162069","-63.636364","-63.636364","-63.636364","445","445","445","","","","","","","","","","","","","","","","","",""
"162119","","","","","","","","","","","","","367.3913","367.3913","367.3913","447","447","447","","","","","",""
"162412","","","","","","","","","","","","","","","","","","","46.579803","46.579803","46.579803","476","476","476"
"162660","","","","","","","24.031008","24.031008","24.031008","446","446","446","","","","","","","","","","","",""
"163070","-49.612404","-49.612404","-49.612404","446","446","446","","","","","","","","","","","","","","","","","",""
"163120","","","","","","","","","","","","","328.99408","328.99408","328.99408","448","448","448","","","","","",""
"163413","","","","","","","","","","","","","","","","","","","-3.030303","-3.030303","-3.030303","477","477","477"
"163661","","","","","","","-52.898552","-52.898552","-52.898552","447","447","447","","","","","","","","","","","",""
"164071","-60.144928","-60.144928","-60.144928","454","454","454","","","","","","","","","","","","","","","","","",""
"164121","","","","","","","","","","","","","135.95506","135.95506","135.95506","456","456","456","","","","","",""
"164414","","","","","","","","","","","","","","","","","","","-14.7286825","-14.7286825","-14.7286825","486","486","486"
"164662","","","","","","","27.218935","27.218935","27.218935","455","455","455","","","","","","","","","","","",""
"165072","-49.704144","-49.704144","-49.704144","455","455","455","","","","","","","","","","","","","","","","","",""
"165122","","","","","","","","","","","","","312.90323","312.90323","312.90323","457","457","457","","","","","",""
"165415","","","","","","","","","","","","","","","","","","","-45.652172","-45.652172","-45.652172","487","487","487"
"165663","","","","","","","16.10487","16.10487","16.10487","456","456","456","","","","","","","","","","","",""
"166073","-58.8015","-58.8015","-58.8015","456","456","456","","","","","","","","","","","","","","","","","",""
"166123","","","","","","","","","","","","","284.31372","284.31372","284.31372","458","458","458","","","","","",""
"166416","","","","","","","","","","","","","","","","","","","98.22485","98.22485","98.22485","488","488","488"
"166664","","","","","","","3.2258065","3.2258065","3.2258065","457","457","457","","","","","","","","","","","",""
"167074","-77.41936","-77.41936","-77.41936","457","457","457","","","","","","","","","","","","","","","","","",""
"167124","","","","","","","","","","","","","325.99277","325.99277","325.99277","459","459","459","","","","","",""
"167417","","","","","","","","","","","","","","","","","","","-6.367041","-6.367041","-6.367041","489","489","489"
"167665","","","","","","","150.9804","150.9804","150.9804","458","458","458","","","","","","","","","","","",""
"168075","-56.862743","-56.862743","-56.862743","465","465","465","","","","","","","","","","","","","","","","","",""
"168125","","","","","","","","","","","","","409.2251","409.2251","409.2251","467","467","467","","","","","",""
"168418","","","","","","","","","","","","","","","","","","","-32.258064","-32.258064","-32.258064","498","498","498"
"168666","","","","","","","4.693141","4.693141","4.693141","466","466","466","","","","","","","","","","","",""
"169076","-60.288807","-60.288807","-60.288807","466","466","466","","","","","","","","","","","","","","","","","",""
"169126","","","","","","","","","","","","","297.35098","297.35098","297.35098","468","468","468","","","","","",""
"169419","","","","","","","","","","","","","","","","","","","92.15686","92.15686","92.15686","499","499","499"
"169667","","","","","","","29.15129","29.15129","29.15129","467","467","467","","","","","","","","","","","",""
"170077","-48.339485","-48.339485","-48.339485","467","467","467","","","","","","","","","","","","","","","","","",""
"170127","","","","","","","","","","","","","455.88235","455.88235","455.88235","469","469","469","","","","","",""
"170420","","","","","","","","","","","","","","","","","","","-49.458485","-49.458485","-49.458485","500","500","500"
"170668","","","","","","","35.76159","35.76159","35.76159","468","468","468","","","","","","","","","","","",""
"171078","-47.019867","-47.019867","-47.019867","468","468","468","","","","","","","","","","","","","","","","","",""
"171128","","","","","","","","","","","","","352.76874","352.76874","352.76874","470","470","470","","","","","",""
"171421","","","","","","","","","","","","","","","","","","","-4.0590405","-4.0590405","-4.0590405","501","501","501"
"171669","","","","","","","-44.117645","-44.117645","-44.117645","469","469","469","","","","","","","","","","","",""
"172079","-79.411766","-79.411766","-79.411766","476","476","476","","","","","","","","","","","","","","","","","",""
"172129","","","","","","","","","","","","","728.6713","728.6713","728.6713","478","478","478","","","","","",""
"172422","","","","","","","","","","","","","","","","","","","-37.086094","-37.086094","-37.086094","510","510","510"
"172670","","","","","","","92.18241","92.18241","92.18241","477","477","477","","","","","","","","","","","",""
"173080","-60.912052","-60.912052","-60.912052","477","477","477","","","","","","","","","","","","","","","","","",""
"173130","","","","","","","","","","","","","475.4386","475.4386","475.4386","479","479","479","","","","","",""
"173423","","","","","","","","","","","","","","","","","","","82.35294","82.35294","82.35294","511","511","511"
"173671","","","","","","","109.79021","109.79021","109.79021","478","478","478","","","","","","","","","","","",""
"173972","","","","","","","","","","","","","","","","","","","-131.8987","-131.8987","-131.8987","512","512","512"
"174081","-12.587413","-12.587413","-12.587413","478","478","478","","","","","","","","","","","","","","","","","",""
"174131","","","","","","","","","","","","","839.75903","839.75903","839.75903","480","480","480","","","","","",""
"174672","","","","","","","61.403507","61.403507","61.403507","479","479","479","","","","","","","","","","","",""
"174973","","","","","","","","","","","","","","","","","","","46.853146","46.853146","46.853146","513","513","513"
"175082","-43.85965","-43.85965","-43.85965","479","479","479","","","","","","","","","","","","","","","","","",""
"175132","","","","","","","","","","","","","306.66666","306.66666","306.66666","481","481","481","","","","","",""
"175673","","","","","","","-7.6305223","-7.6305223","-7.6305223","480","480","480","","","","","","","","","","","",""
"175974","","","","","","","","","","","","","","","","","","","-36.842106","-36.842106","-36.842106","514","514","514"
"176083","-67.87148","-67.87148","-67.87148","480","480","480","","","","","","","","","","","","","","","","","",""
"176133","","","","","","","","","","","","","509.67743","509.67743","509.67743","489","489","489","","","","","",""
"176674","","","","","","","20","20","20","488","488","488","","","","","","","","","","","",""
"176975","","","","","","","","","","","","","","","","","","","-39.759037","-39.759037","-39.759037","523","523","523"
"177084","-56.666668","-56.666668","-56.666668","488","488","488","","","","","","","","","","","","","","","","","",""
"177134","","","","","","","","","","","","","284.32837","284.32837","284.32837","490","490","490","","","","","",""
"177310","","","","","","","","","","","","","","","","","","","-76.63333","-76.63333","-76.63333","524","524","524"
"177352","","","","","","","-125.66451","-125.66451","-125.66451","489","489","489","","","","","","","","","","","",""
"177742","-146.24516","-146.24516","-146.24516","489","489","489","","","","","","","","","","","","","","","","","",""
"178135","","","","","","","","","","","","","387.5445","387.5445","387.5445","491","491","491","","","","","",""
"178311","","","","","","","","","","","","","","","","","","","19.35484","19.35484","19.35484","525","525","525"
"178353","","","","","","","-6.716418","-6.716418","-6.716418","490","490","490","","","","","","","","","","","",""
"178743","-73.8806","-73.8806","-73.8806","490","490","490","","","","","","","","","","","","","","","","","",""
"179136","","","","","","","","","","","","","841.8182","841.8182","841.8182","492","492","492","","","","","",""
"179312","","","","","","","","","","","","","","","","","","","-14.179105","-14.179105","-14.179105","526","526","526"
"179354","","","","","","","85.05338","85.05338","85.05338","491","491","491","","","","","","","","","","","",""
"179744","-43.060497","-43.060497","-43.060497","491","491","491","","","","","","","","","","","","","","","","","",""
"180014","","","","","","","-114.89091","-114.89091","-114.89091","492","492","492","","","","","","","","","","","",""
"180137","","","","","","","","","","","","","446.7128","446.7128","446.7128","493","493","493","","","","","",""
"180313","","","","","","","","","","","","","","","","","","","-43.060497","-43.060497","-43.060497","535","535","535"
"180745","-45.454544","-45.454544","-45.454544","499","499","499","","","","","","","","","","","","","","","","","",""
"180892","","","","","","","-114.93564","-114.93564","-114.93564","500","500","500","","","","","","","","","","","",""
"181138","","","","","","","","","","","","","566.6667","566.6667","566.6667","501","501","501","","","","","",""
"181314","","","","","","","","","","","","","","","","","","","-41.81818","-41.81818","-41.81818","536","536","536"
"181746","-23.875433","-23.875433","-23.875433","500","500","500","","","","","","","","","","","","","","","","","",""
"181893","","","","","","","20.879122","20.879122","20.879122","501","501","501","","","","","","","","","","","",""
"182139","","","","","","","","","","","","","469.57928","469.57928","469.57928","502","502","502","","","","","",""
"182315","","","","","","","","","","","","","","","","","","","76.47059","76.47059","76.47059","537","537","537"
"182747","-63.369965","-63.369965","-63.369965","501","501","501","","","","","","","","","","","","","","","","","",""
"182894","","","","","","","32.686085","32.686085","32.686085","502","502","502","","","","","","","","","","","",""
"183140","","","","","","","","","","","","","393.86502","393.86502","393.86502","503","503","503","","","","","",""
"183316","","","","","","","","","","","","","","","","","","","-4.7619047","-4.7619047","-4.7619047","538","538","538"
"183748","-44.983818","-44.983818","-44.983818","502","502","502","","","","","","","","","","","","","","","","","",""
"183895","","","","","","","222.08589","222.08589","222.08589","503","503","503","","","","","","","","","","","",""
"184141","","","","","","","","","","","","","511.65048","511.65048","511.65048","504","504","504","","","","","",""
"184317","","","","","","","","","","","","","","","","","","","35.92233","35.92233","35.92233","539","539","539"
"184749","-66.25767","-66.25767","-66.25767","510","510","510","","","","","","","","","","","","","","","","","",""
"184896","","","","","","","217.1521","217.1521","217.1521","511","511","511","","","","","","","","","","","",""
"185142","","","","","","","","","","","","","513.54584","513.54584","513.54584","512","512","512","","","","","",""
"185318","","","","","","","","","","","","","","","","","","","59.5092","59.5092","59.5092","548","548","548"
"185750","-83.81877","-83.81877","-83.81877","511","511","511","","","","","","","","","","","","","","","","","",""
"185897","","","","","","","35.458168","35.458168","35.458168","512","512","512","","","","","","","","","","","",""
"186143","","","","","","","","","","","","","620.1258","620.1258","620.1258","513","513","513","","","","","",""
"186319","","","","","","","","","","","","","","","","","","","-38.511326","-38.511326","-38.511326","549","549","549"
"186694","","","","","","","","","","","","","","","","","","","-109.41155","-109.41155","-109.41155","550","550","550"
"186751","-40.239044","-40.239044","-40.239044","512","512","512","","","","","","","","","","","","","","","","","",""
"186898","","","","","","","38.36478","38.36478","38.36478","513","513","513","","","","","","","","","","","",""
"187144","","","","","","","","","","","","","605.32916","605.32916","605.32916","514","514","514","","","","","",""
"187695","","","","","","","","","","","","","","","","","","","-8.805032","-8.805032","-8.805032","551","551","551"
"187752","-59.119495","-59.119495","-59.119495","513","513","513","","","","","","","","","","","","","","","","","",""
"187899","","","","","","","229.15361","229.15361","229.15361","514","514","514","","","","","","","","","","","",""
"188145","","","","","","","","","","","","","291.6084","291.6084","291.6084","515","515","515","","","","","",""
"188696","","","","","","","","","","","","","","","","","","","-31.034483","-31.034483","-31.034483","560","560","560"
"188753","-78.05643","-78.05643","-78.05643","521","521","521","","","","","","","","","","","","","","","","","",""
"188900","","","","","","","99.3007","99.3007","99.3007","522","522","522","","","","","","","","","","","",""
"189146","","","","","","","","","","","","","867.50903","867.50903","867.50903","523","523","523","","","","","",""
"189697","","","","","","","","","","","","","","","","","","","11.888112","11.888112","11.888112","561","561","561"
"189754","-58.041958","-58.041958","-58.041958","522","522","522","","","","","","","","","","","","","","","","","",""
"189901","","","","","","","-16.967508","-16.967508","-16.967508","523","523","523","","","","","","","","","","","",""
"190147","","","","","","","","","","","","","398.2699","398.2699","398.2699","524","524","524","","","","","",""
"190698","","","","","","","","","","","","","","","","","","","-67.509026","-67.509026","-67.509026","562","562","562"
"190755","-49.458485","-49.458485","-49.458485","523","523","523","","","","","","","","","","","","","","","","","",""
"190902","","","","","","","246.02077","246.02077","246.02077","524","524","524","","","","","","","","","","","",""
"191148","","","","","","","","","","","","","405.92886","405.92886","405.92886","525","525","525","","","","","",""
"191699","","","","","","","","","","","","","","","","","","","7.266436","7.266436","7.266436","563","563","563"
"191756","-72.31834","-72.31834","-72.31834","524","524","524","","","","","","","","","","","","","","","","","",""
"191903","","","","","","","6.7193675","6.7193675","6.7193675","525","525","525","","","","","","","","","","","",""
"192149","","","","","","","","","","","","","860.9929","860.9929","860.9929","526","526","526","","","","","",""
"192700","","","","","","","","","","","","","","","","","","","54.150196","54.150196","54.150196","572","572","572"
"192757","26.482214","26.482214","26.482214","532","532","532","","","","","","","","","","","","","","","","","",""
"192904","","","","","","","197.87234","197.87234","197.87234","533","533","533","","","","","","","","","","","",""
"193150","","","","","","","","","","","","","593.6027","593.6027","593.6027","534","534","534","","","","","",""
"193701","","","","","","","","","","","","","","","","","","","116.31206","116.31206","116.31206","573","573","573"
"193758","-50.35461","-50.35461","-50.35461","533","533","533","","","","","","","","","","","","","","","","","",""
"193905","","","","","","","125.589226","125.589226","125.589226","534","534","534","","","","","","","","","","","",""
"194151","","","","","","","","","","","","","544.9511","544.9511","544.9511","535","535","535","","","","","",""
"194702","","","","","","","","","","","","","","","","","","","-12.457912","-12.457912","-12.457912","574","574","574"
"194759","-66.32996","-66.32996","-66.32996","534","534","534","","","","","","","","","","","","","","","","","",""
"194906","","","","","","","69.38111","69.38111","69.38111","535","535","535","","","","","","","","","","","",""
"195152","","","","","","","","","","","","","593.06934","593.06934","593.06934","536","536","536","","","","","",""
"195703","","","","","","","","","","","","","","","","","","","173.61563","173.61563","173.61563","575","575","575"
"195760","-80.456024","-80.456024","-80.456024","535","535","535","","","","","","","","","","","","","","","","","",""
"195907","","","","","","","-30.69307","-30.69307","-30.69307","536","536","536","","","","","","","","","","","",""
"196153","","","","","","","","","","","","","401.7301","401.7301","401.7301","537","537","537","","","","","",""
"196704","","","","","","","","","","","","","","","","","","","-20.79208","-20.79208","-20.79208","584","584","584"
"196761","-33.9934","-33.9934","-33.9934","543","543","543","","","","","","","","","","","","","","","","","",""
"196908","","","","","","","0.34602076","0.34602076","0.34602076","544","544","544","","","","","","","","","","","",""
"197154","","","","","","","","","","","","","620.68964","620.68964","620.68964","545","545","545","","","","","",""
"197705","","","","","","","","","","","","","","","","","","","-34.256054","-34.256054","-34.256054","585","585","585"
"197762","-34.256054","-34.256054","-34.256054","544","544","544","","","","","","","","","","","","","","","","","",""
"197909","","","","","","","3.4482758","3.4482758","3.4482758","545","545","545","","","","","","","","","","","",""
"198155","","","","","","","","","","","","","189.56229","189.56229","189.56229","546","546","546","","","","","",""
"198706","","","","","","","","","","","","","","","","","","","151.72414","151.72414","151.72414","586","586","586"
"198763","-58.62069","-58.62069","-58.62069","545","545","545","","","","","","","","","","","","","","","","","",""
"198910","","","","","","","-25.925926","-25.925926","-25.925926","546","546","546","","","","","","","","","","","",""
"199156","","","","","","","","","","","","","341.86047","341.86047","341.86047","547","547","547","","","","","",""
"199707","","","","","","","","","","","","","","","","","","","4.3771043","4.3771043","4.3771043","587","587","587"
"199764","-29.292929","-29.292929","-29.292929","546","546","546","","","","","","","","","","","","","","","","","",""
"199911","","","","","","","192.35881","192.35881","192.35881","547","547","547","","","","","","","","","","","",""
"200157","","","","","","","","","","","","","792.5926","792.5926","792.5926","548","548","548","","","","","",""
"200708","","","","","","","","","","","","","","","","","","","-13.621263","-13.621263","-13.621263","596","596","596"
"200765","-43.521595","-43.521595","-43.521595","554","554","554","","","","","","","","","","","","","","","","","",""
"200912","","","","","","","207.40741","207.40741","207.40741","555","555","555","","","","","","","","","","","",""
"201057","-51.22222","-51.22222","-51.22222","555","555","555","","","","","","","","","","","","","","","","","",""
"201158","","","","","","","","","","","","","425.29184","425.29184","425.29184","556","556","556","","","","","",""
"201709","","","","","","","","","","","","","","","","","","","55.555557","55.555557","55.555557","597","597","597"
"201913","","","","","","","219.06615","219.06615","219.06615","556","556","556","","","","","","","","","","","",""
"202058","-18.287937","-18.287937","-18.287937","556","556","556","","","","","","","","","","","","","","","","","",""
"202159","","","","","","","","","","","","","333.22476","333.22476","333.22476","557","557","557","","","","","",""
"202710","","","","","","","","","","","","","","","","","","","67.31518","67.31518","67.31518","598","598","598"
"202914","","","","","","","-8.794788","-8.794788","-8.794788","557","557","557","","","","","","","","","","","",""
"203059","-54.397392","-54.397392","-54.397392","557","557","557","","","","","","","","","","","","","","","","","",""
"203160","","","","","","","","","","","","","306.25","306.25","306.25","558","558","558","","","","","",""
"203711","","","","","","","","","","","","","","","","","","","69.38111","69.38111","69.38111","599","599","599"
"203915","","","","","","","35.416668","35.416668","35.416668","558","558","558","","","","","","","","","","","",""
"204060","-47.916668","-47.916668","-47.916668","558","558","558","","","","","","","","","","","","","","","","","",""
"204161","","","","","","","","","","","","","818.30066","818.30066","818.30066","559","559","559","","","","","",""
"204712","","","","","","","","","","","","","","","","","","","-9.722222","-9.722222","-9.722222","600","600","600"
"204916","","","","","","","154.90196","154.90196","154.90196","566","566","566","","","","","","","","","","","",""
"205017","-103.996735","-103.996735","-103.996735","566","566","566","","","","","","","","","","","","","","","","","",""
"205162","","","","","","","","","","","","","617.5325","617.5325","617.5325","567","567","567","","","","","",""
"205713","","","","","","","","","","","","","","","","","","","89.54248","89.54248","89.54248","609","609","609"
"205917","","","","","","","175.97403","175.97403","175.97403","567","567","567","","","","","","","","","","","",""
"206018","29.87013","29.87013","29.87013","567","567","567","","","","","","","","","","","","","","","","","",""
"206163","","","","","","","","","","","","","489.90536","489.90536","489.90536","568","568","568","","","","","",""
"206714","","","","","","","","","","","","","","","","","","","7.142857","7.142857","7.142857","610","610","610"
"206765","-127.18139","-127.18139","-127.18139","568","568","568","","","","","","","","","","","","","","","","","",""
"206918","","","","","","","183.91167","183.91167","183.91167","568","568","568","","","","","","","","","","","",""
"207164","","","","","","","","","","","","","828.8256","828.8256","828.8256","569","569","569","","","","","",""
"207715","","","","","","","","","","","","","","","","","","","38.80126","38.80126","38.80126","611","611","611"
"207766","-25.266905","-25.266905","-25.266905","569","569","569","","","","","","","","","","","","","","","","","",""
"207919","","","","","","","255.87189","255.87189","255.87189","569","569","569","","","","","","","","","","","",""
