"Step","1779039473-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb","1779039473-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb__MIN","1779039473-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb__MAX","1778997949-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb","1778997949-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb__MIN","1778997949-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb__MAX","1778988573-grad-compression=none - charts/calculated_data_transfer_total_mb","1778988573-grad-compression=none - charts/calculated_data_transfer_total_mb__MIN","1778988573-grad-compression=none - charts/calculated_data_transfer_total_mb__MAX"
"609","7788.6577","7788.6577","7788.6577","7788.6577","7788.6577","7788.6577","7788.6577","7788.6577","7788.6577"
"620","7932.892","7932.892","7932.892","7932.892","7932.892","7932.892","7932.892","7932.892","7932.892"
"631","8077.127","8077.127","8077.127","8077.127","8077.127","8077.127","8077.127","8077.127","8077.127"
"642","8221.361","8221.361","8221.361","8221.361","8221.361","8221.361","8221.361","8221.361","8221.361"
"653","8365.596","8365.596","8365.596","8365.596","8365.596","8365.596","8365.596","8365.596","8365.596"
"664","8509.83","8509.83","8509.83","8509.83","8509.83","8509.83","8509.83","8509.83","8509.83"
"675","8654.064","8654.064","8654.064","8654.064","8654.064","8654.064","8654.064","8654.064","8654.064"
"686","8798.299","8798.299","8798.299","8798.299","8798.299","8798.299","8798.299","8798.299","8798.299"
"697","8942.533","8942.533","8942.533","8942.533","8942.533","8942.533","8942.533","8942.533","8942.533"
"708","9086.768","9086.768","9086.768","9086.768","9086.768","9086.768","9086.768","9086.768","9086.768"
"719","9231.002","9231.002","9231.002","9231.002","9231.002","9231.002","9231.002","9231.002","9231.002"
"730","9375.236","9375.236","9375.236","9375.236","9375.236","9375.236","9375.236","9375.236","9375.236"
"741","9519.471","9519.471","9519.471","9519.471","9519.471","9519.471","9519.471","9519.471","9519.471"
"752","9663.705","9663.705","9663.705","9663.705","9663.705","9663.705","9663.705","9663.705","9663.705"
"763","9807.939","9807.939","9807.939","9807.939","9807.939","9807.939","9807.939","9807.939","9807.939"
"774","9952.174","9952.174","9952.174","9952.174","9952.174","9952.174","9952.174","9952.174","9952.174"
"785","10096.408","10096.408","10096.408","10096.408","10096.408","10096.408","10096.408","10096.408","10096.408"
"796","10240.643","10240.643","10240.643","10240.643","10240.643","10240.643","10240.643","10240.643","10240.643"
"807","10384.877","10384.877","10384.877","10384.877","10384.877","10384.877","10384.877","10384.877","10384.877"
"818","10529.111","10529.111","10529.111","10529.111","10529.111","10529.111","10529.111","10529.111","10529.111"
"829","10673.346","10673.346","10673.346","10673.346","10673.346","10673.346","10673.346","10673.346","10673.346"
"840","10817.58","10817.58","10817.58","10817.58","10817.58","10817.58","10817.58","10817.58","10817.58"
"851","10961.814","10961.814","10961.814","10961.814","10961.814","10961.814","10961.814","10961.814","10961.814"
"862","11106.049","11106.049","11106.049","11106.049","11106.049","11106.049","11106.049","11106.049","11106.049"
"873","11250.283","11250.283","11250.283","11250.283","11250.283","11250.283","11250.283","11250.283","11250.283"
"892","11394.518","11394.518","11394.518","11394.518","11394.518","11394.518","11394.518","11394.518","11394.518"
"903","11538.752","11538.752","11538.752","11538.752","11538.752","11538.752","11538.752","11538.752","11538.752"
"914","11682.987","11682.987","11682.987","11682.987","11682.987","11682.987","11682.987","11682.987","11682.987"
"925","11827.222","11827.222","11827.222","11827.222","11827.222","11827.222","11827.222","11827.222","11827.222"
"936","11971.456","11971.456","11971.456","11971.456","11971.456","11971.456","11971.456","11971.456","11971.456"
"947","12115.69","12115.69","12115.69","12115.69","12115.69","12115.69","12115.69","12115.69","12115.69"
