"Step","1779039473-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb","1779039473-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb__MIN","1779039473-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb__MAX","1778997949-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb","1778997949-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb__MIN","1778997949-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb__MAX","1778988573-grad-compression=none - charts/calculated_data_transfer_total_mb","1778988573-grad-compression=none - charts/calculated_data_transfer_total_mb__MIN","1778988573-grad-compression=none - charts/calculated_data_transfer_total_mb__MAX"
"18074","","","","","","","230630.81","230630.81","230630.81"
"18085","","","","","","","230775.05","230775.05","230775.05"
"18086","134352.27","134352.27","134352.27","134352.27","134352.27","134352.27","","",""
"18096","","","","","","","230919.28","230919.28","230919.28"
"18104","134445.3","134445.3","134445.3","134445.3","134445.3","134445.3","","",""
"18107","","","","","","","231063.52","231063.52","231063.52"
"18118","","","","","","","231207.75","231207.75","231207.75"
"18122","134538.33","134538.33","134538.33","134538.33","134538.33","134538.33","","",""
"18129","","","","","","","231351.98","231351.98","231351.98"
"18140","134631.36","134631.36","134631.36","134631.36","134631.36","134631.36","231496.22","231496.22","231496.22"
"18151","","","","","","","231640.45","231640.45","231640.45"
"18158","134724.4","134724.4","134724.4","134724.4","134724.4","134724.4","","",""
"18162","","","","","","","231784.69","231784.69","231784.69"
"18173","","","","","","","231928.92","231928.92","231928.92"
"18176","134817.44","134817.44","134817.44","134817.44","134817.44","134817.44","","",""
"18184","","","","","","","232073.16","232073.16","232073.16"
"18194","134910.47","134910.47","134910.47","134910.47","134910.47","134910.47","","",""
"18195","","","","","","","232217.39","232217.39","232217.39"
"18206","","","","","","","232361.62","232361.62","232361.62"
"18212","135003.5","135003.5","135003.5","135003.5","135003.5","135003.5","","",""
"18217","","","","","","","232505.86","232505.86","232505.86"
"18230","135096.53","135096.53","135096.53","135096.53","135096.53","135096.53","","",""
"18236","","","","","","","232650.1","232650.1","232650.1"
"18247","","","","","","","232794.33","232794.33","232794.33"
"18248","135189.58","135189.58","135189.58","135189.58","135189.58","135189.58","","",""
"18258","","","","","","","232938.56","232938.56","232938.56"
"18266","135282.61","135282.61","135282.61","135282.61","135282.61","135282.61","","",""
"18269","","","","","","","233082.8","233082.8","233082.8"
"18280","","","","","","","233227.03","233227.03","233227.03"
"18284","135375.64","135375.64","135375.64","135375.64","135375.64","135375.64","","",""
"18291","","","","","","","233371.27","233371.27","233371.27"
"18302","135468.67","135468.67","135468.67","135468.67","135468.67","135468.67","233515.5","233515.5","233515.5"
"18313","","","","","","","233659.73","233659.73","233659.73"
"18320","135561.7","135561.7","135561.7","135561.7","135561.7","135561.7","","",""
"18324","","","","","","","233803.97","233803.97","233803.97"
"18335","","","","","","","233948.2","233948.2","233948.2"
"18338","135654.75","135654.75","135654.75","135654.75","135654.75","135654.75","","",""
"18346","","","","","","","234092.44","234092.44","234092.44"
"18356","135747.78","135747.78","135747.78","135747.78","135747.78","135747.78","","",""
"18357","","","","","","","234236.67","234236.67","234236.67"
"18368","","","","","","","234380.9","234380.9","234380.9"
"18374","135840.81","135840.81","135840.81","135840.81","135840.81","135840.81","","",""
"18379","","","","","","","234525.14","234525.14","234525.14"
"18390","","","","","","","234669.38","234669.38","234669.38"
"18392","135933.84","135933.84","135933.84","135933.84","135933.84","135933.84","","",""
"18401","","","","","","","234813.61","234813.61","234813.61"
"18410","136026.88","136026.88","136026.88","136026.88","136026.88","136026.88","","",""
"18412","","","","","","","234957.84","234957.84","234957.84"
"18423","","","","","","","235102.08","235102.08","235102.08"
"18428","136119.92","136119.92","136119.92","136119.92","136119.92","136119.92","","",""
"18434","","","","","","","235246.31","235246.31","235246.31"
"18445","","","","","","","235390.55","235390.55","235390.55"
"18446","136212.95","136212.95","136212.95","136212.95","136212.95","136212.95","","",""
"18456","","","","","","","235534.78","235534.78","235534.78"
"18464","136305.98","136305.98","136305.98","136305.98","136305.98","136305.98","","",""
"18467","","","","","","","235679.02","235679.02","235679.02"
"18478","","","","","","","235823.25","235823.25","235823.25"
"18489","","","","","","","235967.48","235967.48","235967.48"
"18490","136399.02","136399.02","136399.02","136399.02","136399.02","136399.02","","",""
"18500","","","","","","","236111.72","236111.72","236111.72"
"18508","136492.05","136492.05","136492.05","136492.06","136492.06","136492.06","","",""
"18511","","","","","","","236255.95","236255.95","236255.95"
"18526","136585.1","136585.1","136585.1","136585.1","136585.1","136585.1","","",""
"18530","","","","","","","236400.19","236400.19","236400.19"
"18541","","","","","","","236544.42","236544.42","236544.42"
"18544","136678.12","136678.12","136678.12","136678.12","136678.12","136678.12","","",""
"18552","","","","","","","236688.66","236688.66","236688.66"
"18562","136771.16","136771.16","136771.16","136771.16","136771.16","136771.16","","",""
"18563","","","","","","","236832.89","236832.89","236832.89"
"18574","","","","","","","236977.12","236977.12","236977.12"
"18580","136864.19","136864.19","136864.19","136864.19","136864.19","136864.19","","",""
"18585","","","","","","","237121.36","237121.36","237121.36"
"18596","","","","","","","237265.6","237265.6","237265.6"
"18598","136957.23","136957.23","136957.23","136957.23","136957.23","136957.23","","",""
"18607","","","","","","","237409.83","237409.83","237409.83"
"18616","137050.27","137050.27","137050.27","137050.27","137050.27","137050.27","","",""
"18618","","","","","","","237554.06","237554.06","237554.06"
"18629","","","","","","","237698.3","237698.3","237698.3"
"18634","137143.3","137143.3","137143.3","137143.3","137143.3","137143.3","","",""
"18640","","","","","","","237842.53","237842.53","237842.53"
"18651","","","","","","","237986.77","237986.77","237986.77"
"18652","137236.33","137236.33","137236.33","137236.33","137236.33","137236.33","","",""
"18662","","","","","","","238131","238131","238131"
"18670","137329.36","137329.36","137329.36","137329.36","137329.36","137329.36","","",""
"18673","","","","","","","238275.23","238275.23","238275.23"
"18684","","","","","","","238419.47","238419.47","238419.47"
"18688","137422.4","137422.4","137422.4","137422.4","137422.4","137422.4","","",""
"18695","","","","","","","238563.7","238563.7","238563.7"
"18706","137515.44","137515.44","137515.44","137515.44","137515.44","137515.44","238707.94","238707.94","238707.94"
"18717","","","","","","","238852.17","238852.17","238852.17"
"18724","137608.47","137608.47","137608.47","137608.47","137608.47","137608.47","","",""
"18728","","","","","","","238996.4","238996.4","238996.4"
"18739","","","","","","","239140.64","239140.64","239140.64"
"18742","137701.5","137701.5","137701.5","137701.5","137701.5","137701.5","","",""
"18750","","","","","","","239284.88","239284.88","239284.88"
"18760","137794.53","137794.53","137794.53","137794.53","137794.53","137794.53","","",""
"18761","","","","","","","239429.11","239429.11","239429.11"
"18772","","","","","","","239573.34","239573.34","239573.34"
"18778","137887.58","137887.58","137887.58","137887.58","137887.58","137887.58","","",""
"18783","","","","","","","239717.58","239717.58","239717.58"
"18794","","","","","","","239861.81","239861.81","239861.81"
"18796","137980.61","137980.61","137980.61","137980.61","137980.61","137980.61","","",""
"18805","","","","","","","240006.05","240006.05","240006.05"
"18814","138073.64","138073.64","138073.64","138073.64","138073.64","138073.64","","",""
"18824","","","","","","","240150.28","240150.28","240150.28"
"18832","138166.67","138166.67","138166.67","138166.67","138166.67","138166.67","","",""
"18835","","","","","","","240294.52","240294.52","240294.52"
"18846","","","","","","","240438.75","240438.75","240438.75"
"18850","138259.7","138259.7","138259.7","138259.7","138259.7","138259.7","","",""
"18857","","","","","","","240582.98","240582.98","240582.98"
"18868","138352.75","138352.75","138352.75","138352.75","138352.75","138352.75","240727.22","240727.22","240727.22"
"18879","","","","","","","240871.45","240871.45","240871.45"
"18886","138445.78","138445.78","138445.78","138445.78","138445.78","138445.78","","",""
"18890","","","","","","","241015.69","241015.69","241015.69"
"18901","","","","","","","241159.92","241159.92","241159.92"
"18904","138538.81","138538.81","138538.81","138538.81","138538.81","138538.81","","",""
"18912","","","","","","","241304.16","241304.16","241304.16"
"18922","138631.84","138631.84","138631.84","138631.84","138631.84","138631.84","","",""
"18923","","","","","","","241448.39","241448.39","241448.39"
"18934","","","","","","","241592.62","241592.62","241592.62"
"18940","138724.88","138724.88","138724.88","138724.88","138724.88","138724.88","","",""
"18945","","","","","","","241736.86","241736.86","241736.86"
"18956","","","","","","","241881.1","241881.1","241881.1"
"18966","138817.92","138817.92","138817.92","138817.92","138817.92","138817.92","","",""
"18967","","","","","","","242025.33","242025.33","242025.33"
"18978","","","","","","","242169.56","242169.56","242169.56"
"18984","138910.95","138910.95","138910.95","138910.95","138910.95","138910.95","","",""
"18989","","","","","","","242313.8","242313.8","242313.8"
"19000","","","","","","","242458.03","242458.03","242458.03"
"19002","139003.98","139003.98","139003.98","139003.98","139003.98","139003.98","","",""
"19011","","","","","","","242602.27","242602.27","242602.27"
"19020","139097.02","139097.02","139097.02","139097.02","139097.02","139097.02","","",""
"19022","","","","","","","242746.5","242746.5","242746.5"
"19033","","","","","","","242890.73","242890.73","242890.73"
"19038","139190.05","139190.05","139190.05","139190.05","139190.05","139190.05","","",""
"19044","","","","","","","243034.97","243034.97","243034.97"
"19055","","","","","","","243179.2","243179.2","243179.2"
"19056","139283.1","139283.1","139283.1","139283.1","139283.1","139283.1","","",""
"19066","","","","","","","243323.44","243323.44","243323.44"
"19074","139376.12","139376.12","139376.12","139376.12","139376.12","139376.12","","",""
"19077","","","","","","","243467.67","243467.67","243467.67"
"19088","","","","","","","243611.9","243611.9","243611.9"
"19092","139469.16","139469.16","139469.16","139469.16","139469.16","139469.16","","",""
"19099","","","","","","","243756.14","243756.14","243756.14"
"19110","139562.19","139562.19","139562.19","139562.19","139562.19","139562.19","","",""
"19118","","","","","","","243900.38","243900.38","243900.38"
"19128","139655.22","139655.22","139655.22","139655.22","139655.22","139655.22","","",""
"19129","","","","","","","244044.61","244044.61","244044.61"
"19140","","","","","","","244188.84","244188.84","244188.84"
"19146","139748.27","139748.27","139748.27","139748.27","139748.27","139748.27","","",""
"19151","","","","","","","244333.08","244333.08","244333.08"
"19162","","","","","","","244477.31","244477.31","244477.31"
"19164","139841.3","139841.3","139841.3","139841.3","139841.3","139841.3","","",""
"19173","","","","","","","244621.55","244621.55","244621.55"
"19182","139934.33","139934.33","139934.33","139934.33","139934.33","139934.33","","",""
"19184","","","","","","","244765.78","244765.78","244765.78"
"19195","","","","","","","244910.02","244910.02","244910.02"
"19200","140027.36","140027.36","140027.36","140027.36","140027.36","140027.36","","",""
"19206","","","","","","","245054.25","245054.25","245054.25"
"19217","","","","","","","245198.48","245198.48","245198.48"
"19218","140120.39","140120.39","140120.39","140120.4","140120.4","140120.4","","",""
"19228","","","","","","","245342.72","245342.72","245342.72"
"19236","140213.44","140213.44","140213.44","140213.44","140213.44","140213.44","","",""
"19239","","","","","","","245486.95","245486.95","245486.95"
"19250","","","","","","","245631.19","245631.19","245631.19"
"19254","140306.47","140306.47","140306.47","140306.47","140306.47","140306.47","","",""
"19261","","","","","","","245775.42","245775.42","245775.42"
"19272","140399.5","140399.5","140399.5","140399.5","140399.5","140399.5","245919.66","245919.66","245919.66"
"19283","","","","","","","246063.89","246063.89","246063.89"
"19290","140492.53","140492.53","140492.53","140492.53","140492.53","140492.53","","",""
"19294","","","","","","","246208.12","246208.12","246208.12"
"19305","","","","","","","246352.36","246352.36","246352.36"
"19308","140585.58","140585.58","140585.58","140585.58","140585.58","140585.58","","",""
"19316","","","","","","","246496.6","246496.6","246496.6"
"19326","140678.61","140678.61","140678.61","140678.61","140678.61","140678.61","","",""
"19327","","","","","","","246640.83","246640.83","246640.83"
"19338","","","","","","","246785.06","246785.06","246785.06"
"19344","140771.64","140771.64","140771.64","140771.64","140771.64","140771.64","","",""
"19349","","","","","","","246929.3","246929.3","246929.3"
"19360","","","","","","","247073.53","247073.53","247073.53"
"19362","140864.67","140864.67","140864.67","140864.67","140864.67","140864.67","","",""
"19371","","","","","","","247217.77","247217.77","247217.77"
"19380","140957.7","140957.7","140957.7","140957.7","140957.7","140957.7","","",""
"19382","","","","","","","247362","247362","247362"
"19393","","","","","","","247506.23","247506.23","247506.23"
"19398","141050.75","141050.75","141050.75","141050.75","141050.75","141050.75","","",""
"19411","","","","","","","247650.47","247650.47","247650.47"
"19416","141143.78","141143.78","141143.78","141143.78","141143.78","141143.78","","",""
"19422","","","","","","","247794.7","247794.7","247794.7"
"19433","","","","","","","247938.94","247938.94","247938.94"
"19442","141236.81","141236.81","141236.81","141236.81","141236.81","141236.81","","",""
"19444","","","","","","","248083.17","248083.17","248083.17"
"19455","","","","","","","248227.4","248227.4","248227.4"
"19460","141329.84","141329.84","141329.84","141329.84","141329.84","141329.84","","",""
"19466","","","","","","","248371.64","248371.64","248371.64"
"19477","","","","","","","248515.88","248515.88","248515.88"
"19478","141422.88","141422.88","141422.88","141422.88","141422.88","141422.88","","",""
"19488","","","","","","","248660.11","248660.11","248660.11"
"19496","141515.92","141515.92","141515.92","141515.92","141515.92","141515.92","","",""
"19499","","","","","","","248804.34","248804.34","248804.34"
"19510","","","","","","","248948.58","248948.58","248948.58"
"19514","141608.95","141608.95","141608.95","141608.95","141608.95","141608.95","","",""
"19521","","","","","","","249092.81","249092.81","249092.81"
"19532","141701.98","141701.98","141701.98","141701.98","141701.98","141701.98","249237.05","249237.05","249237.05"
"19543","","","","","","","249381.28","249381.28","249381.28"
"19550","141795.02","141795.02","141795.02","141795.02","141795.02","141795.02","","",""
"19554","","","","","","","249525.52","249525.52","249525.52"
"19565","","","","","","","249669.75","249669.75","249669.75"
"19568","141888.05","141888.05","141888.05","141888.05","141888.05","141888.05","","",""
"19576","","","","","","","249813.98","249813.98","249813.98"
"19586","141981.1","141981.1","141981.1","141981.1","141981.1","141981.1","","",""
"19587","","","","","","","249958.22","249958.22","249958.22"
"19598","","","","","","","250102.45","250102.45","250102.45"
"19604","142074.12","142074.12","142074.12","142074.12","142074.12","142074.12","","",""
"19609","","","","","","","250246.69","250246.69","250246.69"
"19620","","","","","","","250390.92","250390.92","250390.92"
"19622","142167.16","142167.16","142167.16","142167.16","142167.16","142167.16","","",""
"19631","","","","","","","250535.16","250535.16","250535.16"
"19640","142260.19","142260.19","142260.19","142260.19","142260.19","142260.19","","",""
"19642","","","","","","","250679.39","250679.39","250679.39"
"19653","","","","","","","250823.62","250823.62","250823.62"
"19658","142353.22","142353.22","142353.22","142353.22","142353.22","142353.22","","",""
"19664","","","","","","","250967.86","250967.86","250967.86"
"19675","","","","","","","251112.1","251112.1","251112.1"
"19676","142446.27","142446.27","142446.27","142446.27","142446.27","142446.27","","",""
"19686","","","","","","","251256.33","251256.33","251256.33"
"19694","142539.3","142539.3","142539.3","142539.3","142539.3","142539.3","","",""
"19705","","","","","","","251400.56","251400.56","251400.56"
"19712","142632.33","142632.33","142632.33","142632.33","142632.33","142632.33","","",""
"19716","","","","","","","251544.8","251544.8","251544.8"
"19727","","","","","","","251689.03","251689.03","251689.03"
"19730","142725.36","142725.36","142725.36","142725.36","142725.36","142725.36","","",""
"19738","","","","","","","251833.27","251833.27","251833.27"
"19748","142818.39","142818.39","142818.39","142818.39","142818.39","142818.39","","",""
"19749","","","","","","","251977.5","251977.5","251977.5"
"19760","","","","","","","252121.73","252121.73","252121.73"
"19766","142911.44","142911.44","142911.44","142911.44","142911.44","142911.44","","",""
"19771","","","","","","","252265.97","252265.97","252265.97"
"19782","","","","","","","252410.2","252410.2","252410.2"
"19784","143004.47","143004.47","143004.47","143004.47","143004.47","143004.47","","",""
"19793","","","","","","","252554.44","252554.44","252554.44"
"19802","143097.5","143097.5","143097.5","143097.5","143097.5","143097.5","","",""
"19804","","","","","","","252698.67","252698.67","252698.67"
"19815","","","","","","","252842.9","252842.9","252842.9"
"19820","143190.53","143190.53","143190.53","143190.53","143190.53","143190.53","","",""
"19826","","","","","","","252987.14","252987.14","252987.14"
"19837","","","","","","","253131.38","253131.38","253131.38"
"19838","143283.56","143283.56","143283.56","143283.56","143283.56","143283.56","","",""
"19848","","","","","","","253275.61","253275.61","253275.61"
"19856","143376.61","143376.61","143376.61","143376.61","143376.61","143376.61","","",""
"19859","","","","","","","253419.84","253419.84","253419.84"
"19870","","","","","","","253564.08","253564.08","253564.08"
"19874","143469.64","143469.64","143469.64","143469.64","143469.64","143469.64","","",""
"19881","","","","","","","253708.31","253708.31","253708.31"
"19892","143562.67","143562.67","143562.67","143562.67","143562.67","143562.67","253852.55","253852.55","253852.55"
"19903","","","","","","","253996.78","253996.78","253996.78"
"19914","","","","","","","254141.02","254141.02","254141.02"
"19918","143655.7","143655.7","143655.7","143655.7","143655.7","143655.7","","",""
"19925","","","","","","","254285.25","254285.25","254285.25"
"19936","143748.75","143748.75","143748.75","143748.75","143748.75","143748.75","254429.48","254429.48","254429.48"
"19947","","","","","","","254573.72","254573.72","254573.72"
"19954","143841.78","143841.78","143841.78","143841.78","143841.78","143841.78","","",""
"19958","","","","","","","254717.95","254717.95","254717.95"
"19969","","","","","","","254862.19","254862.19","254862.19"
"19972","143934.81","143934.81","143934.81","143934.81","143934.81","143934.81","","",""
"19980","","","","","","","255006.42","255006.42","255006.42"
"19990","144027.84","144027.84","144027.84","144027.84","144027.84","144027.84","","",""
"19997","","","","","","","255150.66","255150.66","255150.66"
"20008","144120.88","144120.88","144120.88","144120.88","144120.88","144120.88","255294.89","255294.89","255294.89"
"20019","","","","","","","255439.12","255439.12","255439.12"
"20026","144213.92","144213.92","144213.92","144213.92","144213.92","144213.92","","",""
"20030","","","","","","","255583.36","255583.36","255583.36"
"20041","","","","","","","255727.6","255727.6","255727.6"
"20044","144306.95","144306.95","144306.95","144306.95","144306.95","144306.95","","",""
"20052","","","","","","","255871.83","255871.83","255871.83"
"20062","144399.98","144399.98","144399.98","144399.98","144399.98","144399.98","","",""
"20063","","","","","","","256016.06","256016.06","256016.06"
"20074","","","","","","","256160.3","256160.3","256160.3"
"20080","144493.02","144493.02","144493.02","144493.02","144493.02","144493.02","","",""
"20085","","","","","","","256304.53","256304.53","256304.53"
"20096","","","","","","","256448.77","256448.77","256448.77"
"20098","144586.05","144586.05","144586.05","144586.05","144586.05","144586.05","","",""
"20107","","","","","","","256593","256593","256593"
"20116","144679.1","144679.1","144679.1","144679.1","144679.1","144679.1","","",""
"20118","","","","","","","256737.23","256737.23","256737.23"
"20129","","","","","","","256881.47","256881.47","256881.47"
"20134","144772.12","144772.12","144772.12","144772.12","144772.12","144772.12","","",""
"20140","","","","","","","257025.7","257025.7","257025.7"
"20151","","","","","","","257169.94","257169.94","257169.94"
"20152","144865.16","144865.16","144865.16","144865.16","144865.16","144865.16","","",""
"20162","","","","","","","257314.17","257314.17","257314.17"
"20170","144958.19","144958.19","144958.19","144958.19","144958.19","144958.19","","",""
"20173","","","","","","","257458.4","257458.4","257458.4"
"20184","","","","","","","257602.64","257602.64","257602.64"
"20188","145051.22","145051.22","145051.22","145051.22","145051.22","145051.22","","",""
"20195","","","","","","","257746.88","257746.88","257746.88"
"20206","145144.27","145144.27","145144.27","145144.27","145144.27","145144.27","257891.11","257891.11","257891.11"
"20217","","","","","","","258035.34","258035.34","258035.34"
"20224","145237.3","145237.3","145237.3","145237.3","145237.3","145237.3","","",""
"20228","","","","","","","258179.58","258179.58","258179.58"
"20239","","","","","","","258323.81","258323.81","258323.81"
"20242","145330.33","145330.33","145330.33","145330.33","145330.33","145330.33","","",""
"20250","","","","","","","258468.06","258468.06","258468.06"
"20260","145423.36","145423.36","145423.36","145423.36","145423.36","145423.36","","",""
"20261","","","","","","","258612.3","258612.3","258612.3"
"20272","","","","","","","258756.53","258756.53","258756.53"
"20278","145516.39","145516.39","145516.39","145516.39","145516.39","145516.39","","",""
"20291","","","","","","","258900.77","258900.77","258900.77"
"20296","145609.44","145609.44","145609.44","145609.44","145609.44","145609.44","","",""
"20302","","","","","","","259045","259045","259045"
"20313","","","","","","","259189.23","259189.23","259189.23"
"20314","145702.47","145702.47","145702.47","145702.47","145702.47","145702.47","","",""
"20324","","","","","","","259333.47","259333.47","259333.47"
"20332","145795.5","145795.5","145795.5","145795.5","145795.5","145795.5","","",""
"20335","","","","","","","259477.7","259477.7","259477.7"
"20346","","","","","","","259621.94","259621.94","259621.94"
"20350","145888.53","145888.53","145888.53","145888.53","145888.53","145888.53","","",""
"20357","","","","","","","259766.17","259766.17","259766.17"
"20368","145981.56","145981.56","145981.56","145981.56","145981.56","145981.56","259910.4","259910.4","259910.4"
"20379","","","","","","","260054.64","260054.64","260054.64"
"20390","","","","","","","260198.88","260198.88","260198.88"
"20393","146074.61","146074.61","146074.61","","","","","",""
"20394","","","","146074.61","146074.61","146074.61","","",""
"20401","","","","","","","260343.11","260343.11","260343.11"
"20411","146167.64","146167.64","146167.64","","","","","",""
"20412","","","","146167.64","146167.64","146167.64","260487.34","260487.34","260487.34"
"20423","","","","","","","260631.58","260631.58","260631.58"
"20429","146260.67","146260.67","146260.67","","","","","",""
"20430","","","","146260.67","146260.67","146260.67","","",""
"20434","","","","","","","260775.81","260775.81","260775.81"
"20445","","","","","","","260920.05","260920.05","260920.05"
"20447","146353.7","146353.7","146353.7","","","","","",""
"20448","","","","146353.7","146353.7","146353.7","","",""
"20456","","","","","","","261064.28","261064.28","261064.28"
"20465","146446.73","146446.73","146446.73","","","","","",""
"20466","","","","146446.73","146446.73","146446.73","","",""
"20467","","","","","","","261208.52","261208.52","261208.52"
"20478","","","","","","","261352.75","261352.75","261352.75"
"20483","146539.78","146539.78","146539.78","","","","","",""
"20484","","","","146539.78","146539.78","146539.78","","",""
"20489","","","","","","","261496.98","261496.98","261496.98"
"20500","","","","","","","261641.22","261641.22","261641.22"
"20501","146632.81","146632.81","146632.81","","","","","",""
"20502","","","","146632.81","146632.81","146632.81","","",""
"20511","","","","","","","261785.45","261785.45","261785.45"
"20519","146725.84","146725.84","146725.84","","","","","",""
"20520","","","","146725.84","146725.84","146725.84","","",""
"20522","","","","","","","261929.69","261929.69","261929.69"
"20533","","","","","","","262073.92","262073.92","262073.92"
"20537","146818.88","146818.88","146818.88","","","","","",""
"20538","","","","146818.88","146818.88","146818.88","","",""
"20544","","","","","","","262218.16","262218.16","262218.16"
"20555","146911.9","146911.9","146911.9","","","","262362.38","262362.38","262362.38"
"20556","","","","146911.9","146911.9","146911.9","","",""
"20566","","","","","","","262506.62","262506.62","262506.62"
"20573","147004.95","147004.95","147004.95","","","","","",""
"20574","","","","147004.95","147004.95","147004.95","","",""
"20582","","","","","","","262650.84","262650.84","262650.84"
"20591","147097.98","147097.98","147097.98","","","","","",""
"20592","","","","147097.98","147097.98","147097.98","","",""
"20593","","","","","","","262795.1","262795.1","262795.1"
"20604","","","","","","","262939.3","262939.3","262939.3"
"20609","147191.02","147191.02","147191.02","","","","","",""
"20610","","","","147191.02","147191.02","147191.02","","",""
"20615","","","","","","","263083.56","263083.56","263083.56"
"20626","","","","","","","263227.78","263227.78","263227.78"
"20627","147284.05","147284.05","147284.05","","","","","",""
"20628","","","","147284.05","147284.05","147284.05","","",""
"20637","","","","","","","263372.03","263372.03","263372.03"
"20645","147377.1","147377.1","147377.1","","","","","",""
"20646","","","","147377.1","147377.1","147377.1","","",""
"20648","","","","","","","263516.25","263516.25","263516.25"
"20659","","","","","","","263660.5","263660.5","263660.5"
"20663","147470.12","147470.12","147470.12","","","","","",""
"20664","","","","147470.12","147470.12","147470.12","","",""
"20670","","","","","","","263804.72","263804.72","263804.72"
"20681","147563.16","147563.16","147563.16","","","","263948.97","263948.97","263948.97"
"20682","","","","147563.16","147563.16","147563.16","","",""
"20692","","","","","","","264093.2","264093.2","264093.2"
"20699","147656.19","147656.19","147656.19","","","","","",""
"20700","","","","147656.19","147656.19","147656.19","","",""
"20703","","","","","","","264237.44","264237.44","264237.44"
"20714","","","","","","","264381.66","264381.66","264381.66"
"20717","147749.22","147749.22","147749.22","","","","","",""
"20718","","","","147749.22","147749.22","147749.22","","",""
"20725","","","","","","","264525.9","264525.9","264525.9"
"20735","147842.27","147842.27","147842.27","","","","","",""
"20736","","","","147842.27","147842.27","147842.27","264670.12","264670.12","264670.12"
"20747","","","","","","","264814.38","264814.38","264814.38"
"20753","147935.3","147935.3","147935.3","","","","","",""
"20754","","","","147935.3","147935.3","147935.3","","",""
"20758","","","","","","","264958.6","264958.6","264958.6"
"20769","","","","","","","265102.84","265102.84","265102.84"
"20771","148028.33","148028.33","148028.33","","","","","",""
"20772","","","","148028.33","148028.33","148028.33","","",""
"20780","","","","","","","265247.06","265247.06","265247.06"
"20789","148121.36","148121.36","148121.36","","","","","",""
"20790","","","","148121.36","148121.36","148121.36","","",""
"20791","","","","","","","265391.3","265391.3","265391.3"
"20802","","","","","","","265535.53","265535.53","265535.53"
"20807","148214.39","148214.39","148214.39","","","","","",""
"20808","","","","148214.39","148214.39","148214.39","","",""
"20813","","","","","","","265679.78","265679.78","265679.78"
"20824","","","","","","","265824","265824","265824"
"20825","148307.44","148307.44","148307.44","","","","","",""
"20826","","","","148307.44","148307.44","148307.44","","",""
"20835","","","","","","","265968.25","265968.25","265968.25"
"20843","148400.47","148400.47","148400.47","","","","","",""
"20844","","","","148400.47","148400.47","148400.47","","",""
"20846","","","","","","","266112.47","266112.47","266112.47"
"20857","","","","","","","266256.72","266256.72","266256.72"
"20869","148493.5","148493.5","148493.5","","","","","",""
"20870","","","","148493.5","148493.5","148493.5","","",""
"20876","","","","","","","266400.94","266400.94","266400.94"
"20887","148586.53","148586.53","148586.53","","","","266545.2","266545.2","266545.2"
"20888","","","","148586.53","148586.53","148586.53","","",""
"20898","","","","","","","266689.4","266689.4","266689.4"
"20905","148679.56","148679.56","148679.56","","","","","",""
"20906","","","","148679.56","148679.56","148679.56","","",""
"20909","","","","","","","266833.66","266833.66","266833.66"
"20920","","","","","","","266977.88","266977.88","266977.88"
"20923","148772.61","148772.61","148772.61","","","","","",""
"20924","","","","148772.61","148772.61","148772.61","","",""
"20931","","","","","","","267122.12","267122.12","267122.12"
"20941","148865.64","148865.64","148865.64","","","","","",""
"20942","","","","148865.64","148865.64","148865.64","267266.34","267266.34","267266.34"
"20953","","","","","","","267410.6","267410.6","267410.6"
"20959","148958.67","148958.67","148958.67","","","","","",""
"20960","","","","148958.67","148958.67","148958.67","","",""
"20964","","","","","","","267554.8","267554.8","267554.8"
"20975","","","","","","","267699.06","267699.06","267699.06"
"20977","149051.7","149051.7","149051.7","","","","","",""
"20978","","","","149051.7","149051.7","149051.7","","",""
"20986","","","","","","","267843.28","267843.28","267843.28"
"20995","149144.73","149144.73","149144.73","","","","","",""
"20996","","","","149144.73","149144.73","149144.73","","",""
"20997","","","","","","","267987.53","267987.53","267987.53"
"21008","","","","","","","268131.75","268131.75","268131.75"
"21013","149237.78","149237.78","149237.78","","","","","",""
"21014","","","","149237.78","149237.78","149237.78","","",""
"21019","","","","","","","268276","268276","268276"
"21030","","","","","","","268420.22","268420.22","268420.22"
"21031","149330.81","149330.81","149330.81","","","","","",""
"21032","","","","149330.81","149330.81","149330.81","","",""
"21041","","","","","","","268564.47","268564.47","268564.47"
"21049","149423.84","149423.84","149423.84","","","","","",""
"21050","","","","149423.84","149423.84","149423.84","","",""
"21052","","","","","","","268708.7","268708.7","268708.7"
"21063","","","","","","","268852.94","268852.94","268852.94"
"21067","149516.88","149516.88","149516.88","","","","","",""
"21068","","","","149516.88","149516.88","149516.88","","",""
"21074","","","","","","","268997.16","268997.16","268997.16"
"21085","149609.9","149609.9","149609.9","","","","269141.4","269141.4","269141.4"
"21086","","","","149609.9","149609.9","149609.9","","",""
"21096","","","","","","","269285.62","269285.62","269285.62"
"21103","149702.95","149702.95","149702.95","","","","","",""
"21104","","","","149702.95","149702.95","149702.95","","",""
"21107","","","","","","","269429.88","269429.88","269429.88"
"21118","","","","","","","269574.1","269574.1","269574.1"
"21121","149795.98","149795.98","149795.98","","","","","",""
